direction,condition,metric,numeric_value,source_artifact,source_column,source_row_key
D1_SLEEPEDF_TO_ISRUC,C5,ABSOLUTE alpha-.10 coverage gap,0.03810462199928333,reports/b0_primary_metrics_per_seed_v1.csv,value,D1_SLEEPEDF_TO_ISRUC|C5|APS_coverage_gap_alpha_0.10|seed_mean|absolute value of mean frozen signed gap
D2_ISRUC_TO_SLEEPEDF,C0,macro-F1,0.73072363068128,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C0|macro-F1|seed_mean|mean across frozen B0 seeds
D2_ISRUC_TO_SLEEPEDF,C0,calibrated NLL,0.6296960899487242,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C0|NLL|seed_mean|mean across frozen B0 seeds
D2_ISRUC_TO_SLEEPEDF,C0,entropy AURC,0.08802424096597805,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C0|AURC|seed_mean|mean across frozen B0 seeds
D2_ISRUC_TO_SLEEPEDF,C0,ABSOLUTE alpha-.10 coverage gap,0.06561449979152863,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C0|APS_coverage_gap_alpha_0.10|seed_mean|absolute value of mean frozen signed gap
D2_ISRUC_TO_SLEEPEDF,C1,macro-F1,0.6462870090953093,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C1|macro-F1|seed_mean|mean across frozen B0 seeds
D2_ISRUC_TO_SLEEPEDF,C1,calibrated NLL,0.7972848422911416,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C1|NLL|seed_mean|mean across frozen B0 seeds
D2_ISRUC_TO_SLEEPEDF,C1,entropy AURC,0.13382544443502808,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C1|AURC|seed_mean|mean across frozen B0 seeds
D2_ISRUC_TO_SLEEPEDF,C1,ABSOLUTE alpha-.10 coverage gap,0.08528437936869987,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C1|APS_coverage_gap_alpha_0.10|seed_mean|absolute value of mean frozen signed gap
D2_ISRUC_TO_SLEEPEDF,C2,macro-F1,0.48478067452347723,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C2|macro-F1|seed_mean|mean across frozen B0 seeds
D2_ISRUC_TO_SLEEPEDF,C2,calibrated NLL,1.1795733056726458,reports/b0_primary_metrics_per_seed_v1.csv,value,D2_ISRUC_TO_SLEEPEDF|C2|NLL|seed_mean|mean across frozen B0 seeds
