experiment,variant,seed,condition,population,prediction_sha256,macro_f1,kappa,balanced_accuracy,nll,temperature,aps_q_0.10,aps_q_0.05,epoch_count,subject_count
D1_SLEEPEDF_TO_ISRUC,B0_W,42,C5,COMPLETE_TARGET,7c1029226d5525b79d79c17fed10673238edd55ebe82c08412cb78fbedc824af,0.40592671617541354,0.2628513566574028,0.3973532952976231,1.4262373656474385,1.2818682602172917,0.9999148935234922,0.9999916993636493,87126,99
D1_SLEEPEDF_TO_ISRUC,B1_W,42,C0,SOURCE_TEST,8baf36e81da660a9684ecb05217466d5459912a6bc76a81f635df2085b7b5ae8,0.7521179939780731,0.724915827666552,0.7434536537934255,0.5086139597985943,1.2818682602172917,0.9999148935234922,0.9999916993636493,22478,11
D1_SLEEPEDF_TO_ISRUC,B1_W,42,C1,SOURCE_TEST,7fcb84fefa2a39cdceb41785bf0431c4a3b5ef6a29372cd6c2dd806a9470a230,0.6971613623046394,0.6737377613583593,0.6901219559713943,0.6008221942291694,1.2818682602172917,0.9999148935234922,0.9999916993636493,22478,11
D1_SLEEPEDF_TO_ISRUC,B1_W,42,C2,SOURCE_TEST,49ba3c45dd52e591eb3b820dce4eb970f98dae0976181714662d8ed0863fb53d,0.659016646167194,0.6209301463557129,0.6387732657766964,0.6953212012371811,1.2818682602172917,0.9999148935234922,0.9999916993636493,22478,11
D1_SLEEPEDF_TO_ISRUC,B1_W,42,C3,COMPLETE_TARGET,6b03734a66e0c2398fa6f107114156d753674bcf10ff3a66adf0d9773544c4c6,0.628311792327475,0.5656748726215395,0.6113391878317264,0.9650713660696496,1.2818682602172917,0.9999148935234922,0.9999916993636493,87126,99
D1_SLEEPEDF_TO_ISRUC,B1_W,42,C4,COMPLETE_TARGET,135135ab1357371d4b61f7cbe06915adae4138d2d08253b538af89ba11760f19,0.5526838539528647,0.49882005813217023,0.5687480429755117,1.0658055094212504,1.2818682602172917,0.9999148935234922,0.9999916993636493,87126,99
D1_SLEEPEDF_TO_ISRUC,B1_W,42,C5,COMPLETE_TARGET,c277638bbd26464aaa5b20b72b5d0b8fa41e694668e2a9d70eb5db14d2d20a38,0.5175211156881592,0.46425728773611064,0.5153298570277504,1.2154991019656296,1.2818682602172917,0.9999148935234922,0.9999916993636493,87126,99
D1_SLEEPEDF_TO_ISRUC,B0_W,2026,C0,SOURCE_TEST,1cc32dfc530434fc078d23a5da54a66faf0b623129353610c1f074e13b2fbd9d,0.7323412653167252,0.6937377480245366,0.7201808471147442,0.5515626756435633,1.1033294788627153,0.9998741783148426,0.9999883027160066,22478,11
D1_SLEEPEDF_TO_ISRUC,B0_W,2026,C1,SOURCE_TEST,f91e9b649021ad8091d4b0aa25232c2e4de1edb17ee00d62e4f36d03d1d4356e,0.6520653400265284,0.6329788591385059,0.6274757176906478,0.6445300990210953,1.1033294788627153,0.9998741783148426,0.9999883027160066,22478,11
D1_SLEEPEDF_TO_ISRUC,B0_W,2026,C2,SOURCE_TEST,77b5b9deb8c57e19df24c3e386bb4e3a6bf23334404b064e5b8f4f5bc79d58a1,0.4785060319588412,0.38171197946542357,0.49785271592116187,1.1550098290653334,1.1033294788627153,0.9998741783148426,0.9999883027160066,22478,11
