direction,seed,condition,montage,metric,probability_variant,value,subject_count,epoch_count
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.5263461834277052,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.15831727131581844,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.506674364079454,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_A1A2,NLL,UNCALIBRATED,1.1987402672030918,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_A1A2,Brier,UNCALIBRATED,0.5806240040189717,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.7093165960263551,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.6158758160899604,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.2766601499085026,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.5919569044302253,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_M1M2,NLL,UNCALIBRATED,0.9426124934217703,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_M1M2,Brier,UNCALIBRATED,0.48257661249710854,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.7145655807939447,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.5498171395428919,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C4,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.20830840227807418,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.3705866771764008,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_A1A2,NLL,UNCALIBRATED,1.4551937957392669,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_A1A2,Brier,UNCALIBRATED,0.6976310104708713,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.6604288065029055,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.6328648520264335,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.356691545326178,17,15429
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.4554675869094714,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_M1M2,NLL,UNCALIBRATED,1.3563822009849071,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_M1M2,Brier,UNCALIBRATED,0.6424734580953224,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.6666400829793647,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.5831446868575587,82,73883
D1_SLEEPEDF_TO_ISRUC,42,C5,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.3112107872954727,82,73883
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.43720990533132814,17,15429
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_A1A2,NLL,UNCALIBRATED,1.4246822240205266,17,15429
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_A1A2,Brier,UNCALIBRATED,0.6327705661375144,17,15429
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.7342056802346403,17,15429
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.6670033051718411,17,15429
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.2783173959776893,17,15429
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.5988173758215447,82,73883
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_M1M2,NLL,UNCALIBRATED,0.9112057058808304,82,73883
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_M1M2,Brier,UNCALIBRATED,0.4667962778993865,82,73883
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.7516122823536792,82,73883
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.5641659973935769,82,73883
D1_SLEEPEDF_TO_ISRUC,2026,C3,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.1687503523297266,82,73883
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.3669583864271875,17,15429
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_A1A2,NLL,UNCALIBRATED,1.5924214210870609,17,15429
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_A1A2,Brier,UNCALIBRATED,0.7214433351736993,17,15429
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.7143782416852112,17,15429
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.691526436561867,17,15429
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.3374448883975315,17,15429
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.5106445561605943,82,73883
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_M1M2,NLL,UNCALIBRATED,1.1403565618617797,82,73883
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_M1M2,Brier,UNCALIBRATED,0.5619324023280367,82,73883
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.7195190449437506,82,73883
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.6073929746860243,82,73883
D1_SLEEPEDF_TO_ISRUC,2026,C4,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.24070241848181761,82,73883
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.387103691423416,17,15429
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_A1A2,NLL,UNCALIBRATED,1.3470773131690175,17,15429
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_A1A2,Brier,UNCALIBRATED,0.6813097872995868,17,15429
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.6325919062021892,17,15429
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.6105431337548334,17,15429
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.37920138600454006,17,15429
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.5071521249830216,82,73883
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_M1M2,NLL,UNCALIBRATED,1.083945743832457,82,73883
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_M1M2,Brier,UNCALIBRATED,0.547354202633091,82,73883
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.6847076818240435,82,73883
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.555453331640998,82,73883
D1_SLEEPEDF_TO_ISRUC,2026,C5,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.25817614201574884,82,73883
D2_ISRUC_TO_SLEEPEDF,17,C0,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.5912536403357878,2,1746
D2_ISRUC_TO_SLEEPEDF,17,C0,ISRUC_A1A2,NLL,UNCALIBRATED,0.7131883849280193,2,1746
D2_ISRUC_TO_SLEEPEDF,17,C0,ISRUC_A1A2,Brier,UNCALIBRATED,0.3450400276648162,2,1746
D2_ISRUC_TO_SLEEPEDF,17,C0,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.806379674669919,2,1746
D2_ISRUC_TO_SLEEPEDF,17,C0,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.5214571821328289,2,1746
D2_ISRUC_TO_SLEEPEDF,17,C0,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.08935030869866294,2,1746
D2_ISRUC_TO_SLEEPEDF,17,C0,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.7508264920966831,13,11845
D2_ISRUC_TO_SLEEPEDF,17,C0,ISRUC_M1M2,NLL,UNCALIBRATED,0.5837279167375612,13,11845
D2_ISRUC_TO_SLEEPEDF,17,C0,ISRUC_M1M2,Brier,UNCALIBRATED,0.3157205344674246,13,11845
D2_ISRUC_TO_SLEEPEDF,17,C0,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.8146645525458056,13,11845
D2_ISRUC_TO_SLEEPEDF,17,C0,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.5200923032710371,13,11845
D2_ISRUC_TO_SLEEPEDF,17,C0,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.07816774766116266,13,11845
