experiment_id,condition,metric,source_temperature_mean,delta_scaled_minus_uncalibrated,descriptive_classification,tolerance,analysis_scope
D2_ISRUC_TO_SLEEPEDF,C1,Brier,1.2131162937997881,0.0018372576798629063,NEUTRAL,0.002,PRIMARY_TARGET_FREE_CALIBRATION_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C1,ECE,1.2131162937997881,0.011461977799200246,WORSENS,0.005,PRIMARY_TARGET_FREE_CALIBRATION_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C1,adaptive_ECE,1.2131162937997881,0.011567038724940798,WORSENS,0.005,PRIMARY_TARGET_FREE_CALIBRATION_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,NLL,1.2131162937997881,-0.016812416642200567,IMPROVES,0.005,PRIMARY_TARGET_FREE_CALIBRATION_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,Brier,1.2131162937997881,-0.006304812845333019,IMPROVES,0.002,PRIMARY_TARGET_FREE_CALIBRATION_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,ECE,1.2131162937997881,-0.03627907966189781,IMPROVES,0.005,PRIMARY_TARGET_FREE_CALIBRATION_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C2,adaptive_ECE,1.2131162937997881,-0.03390276238886866,IMPROVES,0.005,PRIMARY_TARGET_FREE_CALIBRATION_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,NLL,1.2131162937997881,-0.10118851555093784,IMPROVES,0.005,PRIMARY_TARGET_FREE_CALIBRATION_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,Brier,1.2131162937997881,-0.011124082345044917,IMPROVES,0.002,PRIMARY_TARGET_FREE_CALIBRATION_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,ECE,1.2131162937997881,-0.03124828095528326,IMPROVES,0.005,PRIMARY_TARGET_FREE_CALIBRATION_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C3,adaptive_ECE,1.2131162937997881,-0.031266960556810205,IMPROVES,0.005,PRIMARY_TARGET_FREE_CALIBRATION_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,NLL,1.2131162937997881,-0.11121550935156403,IMPROVES,0.005,PRIMARY_TARGET_FREE_CALIBRATION_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,Brier,1.2131162937997881,-0.013143962551945387,IMPROVES,0.002,PRIMARY_TARGET_FREE_CALIBRATION_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,ECE,1.2131162937997881,-0.04362799391802738,IMPROVES,0.005,PRIMARY_TARGET_FREE_CALIBRATION_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C4,adaptive_ECE,1.2131162937997881,-0.04321864514421155,IMPROVES,0.005,PRIMARY_TARGET_FREE_CALIBRATION_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,NLL,1.2131162937997881,-0.07464451013631794,IMPROVES,0.005,PRIMARY_TARGET_FREE_CALIBRATION_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,Brier,1.2131162937997881,-0.02536062735800108,IMPROVES,0.002,PRIMARY_TARGET_FREE_CALIBRATION_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,ECE,1.2131162937997881,-0.03898870384125522,IMPROVES,0.005,PRIMARY_TARGET_FREE_CALIBRATION_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C5,adaptive_ECE,1.2131162937997881,-0.03873796283172588,IMPROVES,0.005,PRIMARY_TARGET_FREE_CALIBRATION_DIAGNOSIS
