experiment_id,metric,contrast_name,probability_variant,point_delta,ci95_low,ci95_high,orientation,bootstrap_replicates
D2_ISRUC_TO_SLEEPEDF,macro-F1,KNOWN_EOG_ONLY_MINUS_FULL,UNCALIBRATED,-0.2695050546892811,-0.33325834165935236,-0.20970281913269848,higher_is_better,2000
D2_ISRUC_TO_SLEEPEDF,NLL,KNOWN_EOG_ONLY_MINUS_FULL,UNCALIBRATED,0.5551818139788258,0.41596805373410767,0.6989919635196851,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,AURC,KNOWN_EOG_ONLY_MINUS_FULL,UNCALIBRATED,0.252877355982497,0.1844583861042111,0.32357351670565226,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,gap_0.1,KNOWN_EOG_ONLY_MINUS_FULL,UNCALIBRATED,0.0029520359757004354,-0.013517736291243606,0.01829312513417942,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,macro-F1,UNSEEN_EEG_ONLY_MINUS_FULL,UNCALIBRATED,-0.10774046459357328,-0.13941200490691086,-0.07458426863958091,higher_is_better,2000
D2_ISRUC_TO_SLEEPEDF,NLL,UNSEEN_EEG_ONLY_MINUS_FULL,UNCALIBRATED,0.4947787585636469,0.3079759530688426,0.6888173055160386,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,AURC,UNSEEN_EEG_ONLY_MINUS_FULL,UNCALIBRATED,0.15672860057023486,0.10902122918759667,0.20219435370225067,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,gap_0.1,UNSEEN_EEG_ONLY_MINUS_FULL,UNCALIBRATED,0.014347963106430026,-0.007210675672627783,0.03644771030263984,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,macro-F1,UNSEEN_EOG_ONLY_MINUS_FULL,UNCALIBRATED,-0.131265507934597,-0.16176595490867202,-0.1023261964659923,higher_is_better,2000
D2_ISRUC_TO_SLEEPEDF,NLL,UNSEEN_EOG_ONLY_MINUS_FULL,UNCALIBRATED,0.15466892781612654,0.01375508237897707,0.28868368425689295,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,AURC,UNSEEN_EOG_ONLY_MINUS_FULL,UNCALIBRATED,0.28109877065078637,0.2438282216365743,0.31956225963224416,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,gap_0.1,UNSEEN_EOG_ONLY_MINUS_FULL,UNCALIBRATED,-0.022550918590890395,-0.037961185979161996,-0.00785242131877736,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,macro-F1,INTERACTION_EEG_ONLY,UNCALIBRATED,-0.04397532546811559,-0.1201682125385825,0.03273585836876065,higher_is_better,2000
D2_ISRUC_TO_SLEEPEDF,NLL,INTERACTION_EEG_ONLY,UNCALIBRATED,0.3310048709794223,0.10018858758174627,0.5688050858337517,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,AURC,INTERACTION_EEG_ONLY,UNCALIBRATED,0.1090999025287798,0.037726528140637816,0.17742582033269835,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,gap_0.1,INTERACTION_EEG_ONLY,UNCALIBRATED,0.030423537205064168,0.0037200153415273,0.05698744258303202,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,macro-F1,INTERACTION_EOG_ONLY,UNCALIBRATED,0.1382395467546841,0.07054522834657209,0.20988396084020167,higher_is_better,2000
D2_ISRUC_TO_SLEEPEDF,NLL,INTERACTION_EOG_ONLY,UNCALIBRATED,-0.40051288616269937,-0.6032522245088625,-0.2022936203069926,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,AURC,INTERACTION_EOG_ONLY,UNCALIBRATED,0.028221414668289375,-0.05451501112016007,0.10834580456151681,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,gap_0.1,INTERACTION_EOG_ONLY,UNCALIBRATED,-0.02550295456659083,-0.047040689764652206,-0.003207696297168556,lower_is_better,2000
