experiment_id,condition,seed,true_stage,predicted_stage,row_normalized_probability,count,analysis_scope
D1_SLEEPEDF_TO_ISRUC,C0,42,N3,Wake,0.0011376564277588168,2,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,42,N3,N1,0.0011376564277588168,2,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,42,N3,N2,0.28668941979522183,504,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,42,N3,N3,0.7110352673492605,1250,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,42,N3,REM,0.0,0,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,42,REM,Wake,0.03923357664233577,129,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,42,REM,N1,0.08576642335766424,282,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,42,REM,N2,0.16149635036496351,531,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,42,REM,N3,0.0018248175182481751,6,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,42,REM,REM,0.7116788321167883,2340,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,Wake,Wake,0.9842486689015973,39929,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,Wake,N1,0.010131137842634589,411,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,Wake,N2,0.0010845986984815619,44,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,Wake,N3,0.0006901991717609938,28,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,Wake,REM,0.0038453953855255374,156,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,N1,Wake,0.15976331360946747,378,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,N1,N1,0.4260355029585799,1008,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,N1,N2,0.24809805579036348,587,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,N1,N3,0.004649196956889264,11,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,N1,REM,0.1614539306846999,382,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,N2,Wake,0.015877957658779578,153,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,N2,N1,0.0850975508509755,820,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,N2,N2,0.8327106683271067,8024,DESCRIPTIVE_CONFUSION_MIGRATION
D1_SLEEPEDF_TO_ISRUC,C0,2026,N2,N3,0.029784142797841428,287,DESCRIPTIVE_CONFUSION_MIGRATION
