direction,condition,metric,table2_source_artifact,table2_definition,table2_value,table3_source_artifact,table3_definition,table3_value,decision
D1,C4,macro-F1,reports/b0_primary_results_multiseed_v1_2.csv,full-population point estimate aggregated across fixed seeds,0.5063910424775941,reports/b1_vs_b0_paired_results_v1.csv,mean of paired subject-bootstrap replicate B0 values,0.506284390139537,DIFFERENT_VALID_ESTIMANDS
D1,C5,macro-F1,reports/b0_primary_results_multiseed_v1_2.csv,full-population point estimate aggregated across fixed seeds,0.28955462494661527,reports/b1_vs_b0_paired_results_v1.csv,mean of paired subject-bootstrap replicate B0 values,0.2892359840367654,DIFFERENT_VALID_ESTIMANDS
D2,C4,macro-F1,reports/b0_primary_results_multiseed_v1_2.csv,full-population point estimate aggregated across fixed seeds,0.38231459305527987,reports/b1_vs_b0_paired_results_v1.csv,mean of paired subject-bootstrap replicate B0 values,0.38224132135184563,DIFFERENT_VALID_ESTIMANDS
D2,C5,macro-F1,reports/b0_primary_results_multiseed_v1_2.csv,full-population point estimate aggregated across fixed seeds,0.3604298679242472,reports/b1_vs_b0_paired_results_v1.csv,mean of paired subject-bootstrap replicate B0 values,0.3605237823953296,DIFFERENT_VALID_ESTIMANDS
