location,manuscript_value,source_artifact,canonical_value,status
Table 3 D1 C5 B0/B1/delta/CI,"0.2892359840367654;0.4751071661103973;0.1858711820736319;[0.16785946159372084,0.2029565738163169]",reports/b1_vs_b0_paired_results_v1.csv,"0.2892359840367654;0.4751071661103973;0.1858711820736319;[0.16785946159372084,0.2029565738163169]",PASS
Table 3 D2 C4 B0/B1/delta/CI,"0.38224132135184563;0.4421581698090513;0.059916848457205685;[0.05308358217859475,0.06666889472068013]",reports/b1_vs_b0_paired_results_v1.csv,"0.38224132135184563;0.4421581698090513;0.059916848457205685;[0.05308358217859475,0.06666889472068013]",PASS
Table 3 D2 C5 B0/B1/delta/CI,"0.3605237823953296;0.36115716176181767;0.0006333793664880516;[-0.012549972509524738,0.014505170511243053]",reports/b1_vs_b0_paired_results_v1.csv,"0.3605237823953296;0.36115716176181767;0.0006333793664880516;[-0.012549972509524738,0.014505170511243053]",PASS
Abstract,+0.03673,reports/paper_tables/table3_b1_vs_b0_compound_effects.csv,+0.03673,PASS
Abstract,+0.18587,reports/paper_tables/table3_b1_vs_b0_compound_effects.csv,+0.18587,PASS
Abstract,+0.05992,reports/paper_tables/table3_b1_vs_b0_compound_effects.csv,+0.05992,PASS
Abstract,+0.00063,reports/paper_tables/table3_b1_vs_b0_compound_effects.csv,+0.00063,PASS
Abstract,"[+0.03141,+0.04215]",reports/paper_tables/table3_b1_vs_b0_compound_effects.csv,"[+0.03141,+0.04215]",PASS
Abstract,"[+0.16786,+0.20296]",reports/paper_tables/table3_b1_vs_b0_compound_effects.csv,"[+0.16786,+0.20296]",PASS
Abstract,"[+0.05308,+0.06667]",reports/paper_tables/table3_b1_vs_b0_compound_effects.csv,"[+0.05308,+0.06667]",PASS
Abstract,"[-0.01255,+0.01451]",reports/paper_tables/table3_b1_vs_b0_compound_effects.csv,"[-0.01255,+0.01451]",PASS
Results reliability examples,-0.02724,reports/b1_vs_b0_paired_results_v1.csv,-0.02724,PASS
Results reliability examples,-0.02970,reports/b1_vs_b0_paired_results_v1.csv,-0.02970,PASS
Results reliability examples,+0.00235,reports/b1_vs_b0_paired_results_v1.csv,+0.00235,PASS
Results reliability examples,+0.16300,reports/b1_vs_b0_paired_results_v1.csv,+0.16300,PASS
Results reliability examples,-0.05022,reports/b1_vs_b0_paired_results_v1.csv,-0.05022,PASS
Results reliability examples,+0.00673,reports/b1_vs_b0_paired_results_v1.csv,+0.00673,PASS
