artifact_type,experiment_id,seed,checkpoint_sha256,normalization_sha256,source_dataset,source_role,source_subject_count,source_epoch_count,fitted_temperature,temperature,initial_nll,final_nll,converged,optimization,b1_model_config_sha256,b1_training_config_sha256,protocol_sha256
SOURCE_CALIBRATION_TEMPERATURE,D1_SLEEPEDF_TO_ISRUC,17,7a006909e9f5cfc29b004a1af5d8536f218265e292b63db904dd09a0ff9fc1a5,be93b208d5cd3bf5b567b55ea76030a132d78108b6c6167dba6bb0d1d0199fb3,sleep_edf_sc,CALIBRATION,8,39561,1.3655837032056555,1.3655837032056555,0.32045612729656137,0.3071440435888482,True,"{'max_iter': 100, 'line_search_fn': 'strong_wolfe', 'tolerance_grad': 1e-09, 'tolerance_change': 1e-12}",b9c40bad93c181fb10534cb5c1a945d4de66dd2c1ace41cef1f85a7646aaeff6,467ed74d465a65990388f4ac4f271311ccb156605cc1cfef1d4339057298bbc7,dee76ddf84bf052cd31a0b3501b45c61da0702e6c7c2568a1d8a68eacbe08756
SOURCE_CALIBRATION_TEMPERATURE,D1_SLEEPEDF_TO_ISRUC,42,b0e5e0989e60b8ba5194ad80a3fc60f5cd87c37c9c7ce20c535783524ed8c5b7,be93b208d5cd3bf5b567b55ea76030a132d78108b6c6167dba6bb0d1d0199fb3,sleep_edf_sc,CALIBRATION,8,39561,1.2286029168593229,1.2286029168593229,0.3062710450763431,0.30073735930137974,True,"{'max_iter': 100, 'line_search_fn': 'strong_wolfe', 'tolerance_grad': 1e-09, 'tolerance_change': 1e-12}",b9c40bad93c181fb10534cb5c1a945d4de66dd2c1ace41cef1f85a7646aaeff6,467ed74d465a65990388f4ac4f271311ccb156605cc1cfef1d4339057298bbc7,dee76ddf84bf052cd31a0b3501b45c61da0702e6c7c2568a1d8a68eacbe08756
SOURCE_CALIBRATION_TEMPERATURE,D1_SLEEPEDF_TO_ISRUC,2026,23ea8b05dac65a10f29f5caf305b203ee381415521ddc8af5665dcff686b967f,be93b208d5cd3bf5b567b55ea76030a132d78108b6c6167dba6bb0d1d0199fb3,sleep_edf_sc,CALIBRATION,8,39561,1.0877055008891658,1.0877055008891658,0.32002599436429263,0.3190519421074805,True,"{'max_iter': 100, 'line_search_fn': 'strong_wolfe', 'tolerance_grad': 1e-09, 'tolerance_change': 1e-12}",b9c40bad93c181fb10534cb5c1a945d4de66dd2c1ace41cef1f85a7646aaeff6,467ed74d465a65990388f4ac4f271311ccb156605cc1cfef1d4339057298bbc7,dee76ddf84bf052cd31a0b3501b45c61da0702e6c7c2568a1d8a68eacbe08756
SOURCE_CALIBRATION_TEMPERATURE,D2_ISRUC_TO_SLEEPEDF,17,3b91624e571259cb0e85cbde6290e11c1211323b38995bcf66f5dbd12088d5ec,3a56d5cbf37bba4a27d55b94251ed1a299b9449eaa31d2aa9d94e56b69aa967e,isruc_s1,CALIBRATION,10,8899,1.1581881582495326,1.1581881582495326,0.6645319466888818,0.6588765336932558,True,"{'max_iter': 100, 'line_search_fn': 'strong_wolfe', 'tolerance_grad': 1e-09, 'tolerance_change': 1e-12}",b9c40bad93c181fb10534cb5c1a945d4de66dd2c1ace41cef1f85a7646aaeff6,467ed74d465a65990388f4ac4f271311ccb156605cc1cfef1d4339057298bbc7,dee76ddf84bf052cd31a0b3501b45c61da0702e6c7c2568a1d8a68eacbe08756
SOURCE_CALIBRATION_TEMPERATURE,D2_ISRUC_TO_SLEEPEDF,42,b5bdd41c9dbf2e71af44a479843babc7448c8a4f45fc9445cc2c507755899d36,3a56d5cbf37bba4a27d55b94251ed1a299b9449eaa31d2aa9d94e56b69aa967e,isruc_s1,CALIBRATION,10,8899,1.3614803393023043,1.3614803393023043,0.7225462328158221,0.6959279336975471,True,"{'max_iter': 100, 'line_search_fn': 'strong_wolfe', 'tolerance_grad': 1e-09, 'tolerance_change': 1e-12}",b9c40bad93c181fb10534cb5c1a945d4de66dd2c1ace41cef1f85a7646aaeff6,467ed74d465a65990388f4ac4f271311ccb156605cc1cfef1d4339057298bbc7,dee76ddf84bf052cd31a0b3501b45c61da0702e6c7c2568a1d8a68eacbe08756
SOURCE_CALIBRATION_TEMPERATURE,D2_ISRUC_TO_SLEEPEDF,2026,1ba7ae76f67c1a8f549b0026eca7b00f60402f9988809c42c6bc6cf14b60ca30,3a56d5cbf37bba4a27d55b94251ed1a299b9449eaa31d2aa9d94e56b69aa967e,isruc_s1,CALIBRATION,10,8899,1.2267857791966688,1.2267857791966688,0.6723326166710198,0.6615218094627725,True,"{'max_iter': 100, 'line_search_fn': 'strong_wolfe', 'tolerance_grad': 1e-09, 'tolerance_change': 1e-12}",b9c40bad93c181fb10534cb5c1a945d4de66dd2c1ace41cef1f85a7646aaeff6,467ed74d465a65990388f4ac4f271311ccb156605cc1cfef1d4339057298bbc7,dee76ddf84bf052cd31a0b3501b45c61da0702e6c7c2568a1d8a68eacbe08756
