model,experiment_id,seed,condition,metric,value,probability_variant
B1,D1_SLEEPEDF_TO_ISRUC,17,C4,coverage_0.05,0.9830034037979218,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C4,gap_0.05,-0.03300340379792188,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C5,macro-F1,0.4853252302099258,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C5,NLL,1.2487988195130186,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,17,C5,Brier,0.6168445244308659,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,17,C5,ERROR_AUROC,0.6853727210583975,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C5,ERROR_AUPRC,0.6101987587991022,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C5,AURC,0.30527843660369386,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C5,coverage_0.1,0.9718850770333214,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C5,gap_0.1,-0.07188507703332137,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C5,coverage_0.05,0.9718850770333214,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,17,C5,gap_0.05,-0.02188507703332143,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C0,macro-F1,0.7612228953860383,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C0,NLL,0.21115673076175445,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,42,C0,Brier,0.1142295517531537,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,42,C0,ERROR_AUROC,0.941630323919038,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C0,ERROR_AUPRC,0.5116241152087043,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C0,AURC,0.008453842965365005,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C0,coverage_0.1,0.9996181616217718,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C0,gap_0.1,-0.09961816162177173,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C0,coverage_0.05,0.9996355179116913,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C0,gap_0.05,-0.049635517911691296,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C1,macro-F1,0.6939107340008606,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C1,NLL,0.2595589285777545,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,42,C1,Brier,0.138378785035692,SOURCE_TEMPERATURE_SCALED
B1,D1_SLEEPEDF_TO_ISRUC,42,C1,ERROR_AUROC,0.9300581346648182,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C1,ERROR_AUPRC,0.5218443311833777,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C1,AURC,0.012473070549676838,UNCALIBRATED
B1,D1_SLEEPEDF_TO_ISRUC,42,C1,coverage_0.1,0.9993231046931408,UNCALIBRATED
