experiment_id,condition,seed,replicate,metric,draw_sha256,subject_count,H_historical,L_literal,E_exact,A_artifact,H_minus_L,L_minus_E,H_minus_A,status
D1_SLEEPEDF_TO_ISRUC,C0,17,6,ERROR_AUROC,7016509f5626443ac616bc05892a814e687a5cac639457d621b9c52bd54ad28e,11,0.942226723494981,0.942226723494981,0.942226723494981,0.9425712274886472,0.0,0.0,-0.00034450399366614537,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,6,ERROR_AUPRC,7016509f5626443ac616bc05892a814e687a5cac639457d621b9c52bd54ad28e,11,0.5046452483941731,0.5043228250035418,0.504322825003542,0.5050016612842197,0.0003224233906313767,-2.220446049250313e-16,-0.00035641289004662013,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,6,AURC,7016509f5626443ac616bc05892a814e687a5cac639457d621b9c52bd54ad28e,11,0.007943473877759379,0.007942977240797601,0.007942977240811977,0.00787624246065405,4.966369617775968e-07,-1.43756534454198e-14,6.723141710532864e-05,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,7,ERROR_AUROC,11ed979cdff0b85e5f628311611a7ce6f3601ccbb031fcb01f5c7bdd6b2f5d49,11,0.9447739111432483,0.9447739111432483,0.9447739111432483,0.9446014156974435,0.0,0.0,0.00017249544580477671,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,7,ERROR_AUPRC,11ed979cdff0b85e5f628311611a7ce6f3601ccbb031fcb01f5c7bdd6b2f5d49,11,0.4995199117089572,0.49915616156535925,0.49915616156536063,0.4967519501204715,0.00036375014359796287,-1.3877787807814457e-15,0.00276796158848569,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,7,AURC,11ed979cdff0b85e5f628311611a7ce6f3601ccbb031fcb01f5c7bdd6b2f5d49,11,0.007042833209149604,0.007042410077257983,0.007042410077272329,0.007072703016354761,4.231318916211521e-07,-1.4346163146328195e-14,-2.986980720515696e-05,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,8,ERROR_AUROC,aa084bf3058f2f831cc9d39f9692eed260a41494023f84d56381b959ddd69b67,11,0.9415650504448065,0.9415650504448065,0.9415650504448065,0.9411071852786287,0.0,0.0,0.000457865166177851,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,8,ERROR_AUPRC,aa084bf3058f2f831cc9d39f9692eed260a41494023f84d56381b959ddd69b67,11,0.5087332947014235,0.5088467316610609,0.5088467316610611,0.5061495639982162,-0.00011343695963739187,-2.220446049250313e-16,0.0025837307032072765,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,8,AURC,aa084bf3058f2f831cc9d39f9692eed260a41494023f84d56381b959ddd69b67,11,0.008384944397625292,0.008384458345227223,0.008384458345241392,0.008405016823375362,4.860523980694531e-07,-1.416922135177856e-14,-2.0072425750070066e-05,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,9,ERROR_AUROC,9bb0b72259d9c61d3bdaf09d9ca43d4642c4b249479096b9b0540e89ff373d72,11,0.9362736657214947,0.9362736657214947,0.9362736657214947,0.9382362832661024,0.0,0.0,-0.001962617544607692,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,9,ERROR_AUPRC,9bb0b72259d9c61d3bdaf09d9ca43d4642c4b249479096b9b0540e89ff373d72,11,0.5122067425114254,0.5119303933316212,0.511930393331621,0.5239492745060202,0.0002763491798042361,1.1102230246251565e-16,-0.011742531994594851,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,9,AURC,9bb0b72259d9c61d3bdaf09d9ca43d4642c4b249479096b9b0540e89ff373d72,11,0.010469328570064298,0.01046885669871199,0.010468856698710626,0.010312066985482633,4.7187135230816746e-07,1.3634926521177704e-15,0.00015726158458166488,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,10,ERROR_AUROC,8c8df496dad812b7a5349bbb2eecd334deb6410e0bb2a4679c944f10b58d038c,11,0.9407528835331631,0.9407528835331631,0.9407528835331631,0.9405096869700335,0.0,0.0,0.0002431965631296551,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,10,ERROR_AUPRC,8c8df496dad812b7a5349bbb2eecd334deb6410e0bb2a4679c944f10b58d038c,11,0.5072011311588218,0.5077464010904815,0.5077464010904812,0.5042042354002598,-0.0005452699316597087,3.3306690738754696e-16,0.0029968957585619904,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,10,AURC,8c8df496dad812b7a5349bbb2eecd334deb6410e0bb2a4679c944f10b58d038c,11,0.008686189076784888,0.008685507463421255,0.008685507463456142,0.008741728748594317,6.816133636330934e-07,-3.488702382536957e-14,-5.553967180942955e-05,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,11,ERROR_AUROC,7b405479a044a63f825d84e5680888b3f4f4ccbf51743c3b3e403398bc280ec7,11,0.9481152592511605,0.9481152592511605,0.9481152592511605,0.9477892588294837,0.0,0.0,0.00032600042167674204,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,11,ERROR_AUPRC,7b405479a044a63f825d84e5680888b3f4f4ccbf51743c3b3e403398bc280ec7,11,0.5296555770410792,0.5292729579693319,0.5292729579693319,0.5387695987975879,0.00038261907174730325,0.0,-0.009114021756508661,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,11,AURC,7b405479a044a63f825d84e5680888b3f4f4ccbf51743c3b3e403398bc280ec7,11,0.007358979781717949,0.007358212523880033,0.0073582125238806015,0.0076229670885479646,7.672578379155567e-07,-5.681219383824043e-16,-0.00026398730683001564,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,12,ERROR_AUROC,c85079e63f1ae4455e226a23310e76249f416a99f24b46be4ddaafde24873b5c,11,0.9422738452593205,0.9422738452593205,0.9422738452593205,0.943042587211654,0.0,0.0,-0.0007687419523335626,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,12,ERROR_AUPRC,c85079e63f1ae4455e226a23310e76249f416a99f24b46be4ddaafde24873b5c,11,0.5245981550405427,0.524144190584844,0.5241441905848434,0.5331773436530218,0.0004539644556987854,5.551115123125783e-16,-0.008579188612479083,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,12,AURC,c85079e63f1ae4455e226a23310e76249f416a99f24b46be4ddaafde24873b5c,11,0.00896234858607932,0.008961114105996114,0.008961114106057969,0.008989483156314615,1.2344800832068265e-06,-6.185503498290501e-14,-2.7134570235294586e-05,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,13,ERROR_AUROC,0d32c73e5dd8e2a9b7d3077aafcc44710fa80f1412d8b363cd6e50428f00ef68,11,0.9388964770582693,0.9388964770582693,0.9388964770582693,0.9395750323366237,0.0,0.0,-0.0006785552783543647,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,13,ERROR_AUPRC,0d32c73e5dd8e2a9b7d3077aafcc44710fa80f1412d8b363cd6e50428f00ef68,11,0.4900659168938555,0.48988619309789017,0.4898861930978895,0.4934445561081278,0.00017972379596531418,6.661338147750939e-16,-0.0033786392142723387,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,13,AURC,0d32c73e5dd8e2a9b7d3077aafcc44710fa80f1412d8b363cd6e50428f00ef68,11,0.008566210556866877,0.008565543562641999,0.008565543562638538,0.008518687416277567,6.669942248776345e-07,3.46077333457373e-15,4.7523140589309995e-05,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,14,ERROR_AUROC,3a0f2740ab425b3b36689d77d57e5ba0a39eaeafca00bcf14eb3db0d7c47be17,11,0.9415393440497566,0.9415393440497566,0.9415393440497566,0.9422728894919156,0.0,0.0,-0.0007335454421589782,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,14,ERROR_AUPRC,3a0f2740ab425b3b36689d77d57e5ba0a39eaeafca00bcf14eb3db0d7c47be17,11,0.515250564591835,0.5151821311605524,0.5151821311605531,0.5184779232505661,6.84334312825996e-05,-6.661338147750939e-16,-0.0032273586587310277,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,14,AURC,3a0f2740ab425b3b36689d77d57e5ba0a39eaeafca00bcf14eb3db0d7c47be17,11,0.008698567633452902,0.008698321552532655,0.008698321552570347,0.008626911138997124,2.4608092024681893e-07,-3.7692071686024065e-14,7.165649445577821e-05,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,15,ERROR_AUROC,4edca3f6b1508e67f6d43bb678afa6d22a3100f43e95e9be2085fe1ebdee1d6e,11,0.9357413601035905,0.9357413601035905,0.9357413601035905,0.9366968206858592,0.0,0.0,-0.0009554605822686968,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,15,ERROR_AUPRC,4edca3f6b1508e67f6d43bb678afa6d22a3100f43e95e9be2085fe1ebdee1d6e,11,0.5125906764443235,0.5123230227398828,0.5123230227398807,0.521810530449248,0.0002676537044407068,2.1094237467877974e-15,-0.009219854004924422,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,15,AURC,4edca3f6b1508e67f6d43bb678afa6d22a3100f43e95e9be2085fe1ebdee1d6e,11,0.0106134911849892,0.010613008052289558,0.01061300805228159,0.010665221510885026,4.831326996419805e-07,7.967584925161475e-15,-5.173032589582578e-05,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,16,ERROR_AUROC,b265a789ad2e918d76ec89c91e6fc94285951ee5937994b0dca1512b6341009a,11,0.9421495806599095,0.9421495806599095,0.9421495806599095,0.9426311819038745,0.0,0.0,-0.000481601243965013,FAIL
D1_SLEEPEDF_TO_ISRUC,C0,17,16,ERROR_AUPRC,b265a789ad2e918d76ec89c91e6fc94285951ee5937994b0dca1512b6341009a,11,0.49363890717187703,0.49334174040747336,0.493341740407474,0.49900336159456665,0.00029716676440366685,-6.661338147750939e-16,-0.005364454422689624,FAIL
