experiment_id,condition,seed,replicate,metric,H_historical,L_literal,E_exact,H_minus_L,L_minus_E,A_artifact_seed_aggregate
D1_SLEEPEDF_TO_ISRUC,C1,17,0,ERROR_AUROC,0.9339181647466059,0.9339181647466059,0.9339181647466059,0.0,0.0,0.930323482755988
D1_SLEEPEDF_TO_ISRUC,C1,17,0,ERROR_AUPRC,0.5907332760444781,0.5904937821113241,0.5904937821113238,0.00023949393315403356,3.3306690738754696e-16,0.5746865263632462
D1_SLEEPEDF_TO_ISRUC,C1,17,0,AURC,0.016025728948666128,0.016024706628858493,0.016024706628900622,1.0223198076350637e-06,-4.212949433757274e-14,0.016574895192051187
D1_SLEEPEDF_TO_ISRUC,C2,17,0,ERROR_AUROC,0.8164196419198543,0.8164196419198543,0.8164196419198543,0.0,0.0,0.7944649444359362
D1_SLEEPEDF_TO_ISRUC,C2,17,0,ERROR_AUPRC,0.5869065328984789,0.5868964890038696,0.5868964890038718,1.0043894609346182e-05,-2.220446049250313e-15,0.5726107469185493
D1_SLEEPEDF_TO_ISRUC,C2,17,0,AURC,0.11554093651521538,0.11553796572707617,0.11553796572703873,2.9707881392115887e-06,3.7442271505483404e-14,0.13451573121952684
D1_SLEEPEDF_TO_ISRUC,C4,17,0,ERROR_AUROC,0.6919520928066204,0.6919520928066204,0.6919520928066204,0.0,0.0,0.6915899670675159
D1_SLEEPEDF_TO_ISRUC,C4,17,0,ERROR_AUPRC,0.5894073436133582,0.5893552149531689,0.5893552149531645,5.2128660189332265e-05,4.440892098500626e-15,0.6022540846753524
D1_SLEEPEDF_TO_ISRUC,C4,17,0,AURC,0.27086131857146195,0.27085791240267654,0.27085791240264895,3.4061687854136657e-06,2.758904216193514e-14,0.2881488841372695
D1_SLEEPEDF_TO_ISRUC,C5,17,0,ERROR_AUROC,0.5810586167855355,0.5810586167855355,0.5810586167855355,0.0,0.0,0.5555330283661314
D1_SLEEPEDF_TO_ISRUC,C5,17,0,ERROR_AUPRC,0.7484265042942946,0.7483997278455778,0.7483997278455732,2.6776448716736567e-05,4.6629367034256575e-15,0.7069264721310616
D1_SLEEPEDF_TO_ISRUC,C5,17,0,AURC,0.6378207746101705,0.6378183856936244,0.637818385693669,2.388916546136599e-06,-4.463096558993129e-14,0.6204519535792626
D2_ISRUC_TO_SLEEPEDF,C1,17,0,ERROR_AUROC,0.7566395520127924,0.7566395520127924,0.7566395520127924,0.0,0.0,0.7670329420309038
D2_ISRUC_TO_SLEEPEDF,C1,17,0,ERROR_AUPRC,0.5165042342149672,0.5163253382150454,0.5163253382150462,0.00017889599992171323,-7.771561172376096e-16,0.5076847540560689
D2_ISRUC_TO_SLEEPEDF,C1,17,0,AURC,0.1376176900616275,0.13760430326439566,0.13760430326441406,1.338679723184022e-05,-1.840194663316197e-14,0.12311657940352717
D2_ISRUC_TO_SLEEPEDF,C2,17,0,ERROR_AUROC,0.6786224515441873,0.6786224515441873,0.6786224515441873,0.0,0.0,0.6567036812652985
D2_ISRUC_TO_SLEEPEDF,C2,17,0,ERROR_AUPRC,0.574927540878521,0.5747925572161847,0.5747925572161846,0.00013498366233632986,1.1102230246251565e-16,0.5672799775437541
D2_ISRUC_TO_SLEEPEDF,C2,17,0,AURC,0.2796926827362709,0.2796866298372426,0.2796866298372529,6.052899028330394e-06,-1.0325074129013956e-14,0.3130299072175611
D2_ISRUC_TO_SLEEPEDF,C4,17,0,ERROR_AUROC,0.7456513103877239,0.7456513103877239,0.7456513103877239,0.0,0.0,0.7200011603631314
D2_ISRUC_TO_SLEEPEDF,C4,17,0,ERROR_AUPRC,0.640348394870804,0.6403416697200179,0.6403416697200197,6.7251507860355275e-06,-1.7763568394002505e-15,0.6682416190218446
D2_ISRUC_TO_SLEEPEDF,C4,17,0,AURC,0.23476107645054797,0.2347605223183513,0.23476052231845254,5.541321966839874e-07,-1.0125233984581428e-13,0.308067267434812
D2_ISRUC_TO_SLEEPEDF,C5,17,0,ERROR_AUROC,0.5490257795461965,0.5490257795461965,0.5490257795461965,0.0,0.0,0.5942089530907524
D2_ISRUC_TO_SLEEPEDF,C5,17,0,ERROR_AUPRC,0.5940047687737047,0.5939946165042449,0.5939946165042473,1.0152269459773322e-05,-2.4424906541753444e-15,0.6114898534405261
D2_ISRUC_TO_SLEEPEDF,C5,17,0,AURC,0.5244261624822417,0.5244251959518453,0.5244251959519428,9.665303963846128e-07,-9.747758156208874e-14,0.4659735153575973
