experiment_id,seed,condition,variant,metric,value,ci95_low,ci95_high,bootstrap_replicates,oracle_evaluation_subject_count,oracle_evaluation_epoch_count,analysis_scope
D1_SLEEPEDF_TO_ISRUC,17,C3,ORACLE_CONDITION_TEMPERATURE,error_AUROC,0.7225546373981333,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C3,ORACLE_CONDITION_TEMPERATURE,error_AUPRC,0.5302416245584756,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C3,ORACLE_CONDITION_TEMPERATURE,AURC,0.1891333308351377,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C3,ORACLE_CONDITION_TEMPERATURE,macro-F1,0.5904321092581089,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,UNCALIBRATED,NLL,1.1103134028906814,1.0167489542947563,1.220807816923567,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,UNCALIBRATED,Brier,0.5599966371216482,0.5232534395064801,0.6009150227303184,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,UNCALIBRATED,ECE,0.12930849479661455,0.10520529362571572,0.15615623981308197,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,UNCALIBRATED,adaptive_ECE,0.12930849479661455,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,UNCALIBRATED,error_AUROC,0.7036347435184295,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,UNCALIBRATED,error_AUPRC,0.5807698696178895,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,UNCALIBRATED,AURC,0.2463955626767239,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,UNCALIBRATED,macro-F1,0.5068986024131086,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,SOURCE_TEMPERATURE_SCALED,NLL,1.038468693279867,0.9628461542100025,1.1249446277993698,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,SOURCE_TEMPERATURE_SCALED,Brier,0.5408967862365996,0.5083862959453176,0.5778013974196673,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,SOURCE_TEMPERATURE_SCALED,ECE,0.06956500825586016,0.04638593269713345,0.0962226991430332,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,SOURCE_TEMPERATURE_SCALED,adaptive_ECE,0.06956500825586016,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,SOURCE_TEMPERATURE_SCALED,error_AUROC,0.702120033887528,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,SOURCE_TEMPERATURE_SCALED,error_AUPRC,0.5773061941762948,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,SOURCE_TEMPERATURE_SCALED,AURC,0.24568226116686426,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,SOURCE_TEMPERATURE_SCALED,macro-F1,0.5068986024131086,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,ORACLE_DOMAIN_TEMPERATURE,NLL,1.0152260444882943,0.9585058767816174,1.0804316898355577,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,ORACLE_DOMAIN_TEMPERATURE,Brier,0.5329205022449754,0.5060001939584344,0.5639489518884234,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,ORACLE_DOMAIN_TEMPERATURE,ECE,0.012455340743048531,0.008423110119583988,0.03649057029945014,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,ORACLE_DOMAIN_TEMPERATURE,adaptive_ECE,0.012383857562807783,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,ORACLE_DOMAIN_TEMPERATURE,error_AUROC,0.6978387299002411,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,ORACLE_DOMAIN_TEMPERATURE,error_AUPRC,0.5709965438964106,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,ORACLE_DOMAIN_TEMPERATURE,AURC,0.2463859208062457,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,ORACLE_DOMAIN_TEMPERATURE,macro-F1,0.5068986024131086,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,ORACLE_CONDITION_TEMPERATURE,NLL,1.0164142573577055,0.9533287858576998,1.0886396909359604,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,ORACLE_CONDITION_TEMPERATURE,Brier,0.5335662135401763,0.5046910990520479,0.5669117058336891,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,ORACLE_CONDITION_TEMPERATURE,ECE,0.02178298334584797,0.010296397046086947,0.04750740714516051,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,ORACLE_CONDITION_TEMPERATURE,adaptive_ECE,0.02251305822014967,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,ORACLE_CONDITION_TEMPERATURE,error_AUROC,0.6997441621889713,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,ORACLE_CONDITION_TEMPERATURE,error_AUPRC,0.5736273083299752,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,ORACLE_CONDITION_TEMPERATURE,AURC,0.24589131915209217,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C4,ORACLE_CONDITION_TEMPERATURE,macro-F1,0.5068986024131086,,,0,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,UNCALIBRATED,NLL,1.8405822065171993,1.748463691383809,1.943460492530549,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,17,C5,UNCALIBRATED,Brier,0.8994183660329763,0.8688216977523647,0.9311384160298304,2000,80,71990,ORACLE_TARGET_UPPER_BOUND
