experiment_id,seed,condition,variant,alpha,qhat,empirical_coverage,signed_coverage_gap,absolute_coverage_error,mean_set_size,median_set_size,singleton_fraction,analysis_scope
D1_SLEEPEDF_TO_ISRUC,42,C4,SOURCE_APS,0.05,0.9999999992237567,0.9834699263786637,-0.03346992637866375,0.03346992637866375,3.9999722183636615,4.0,0.0,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C4,ORACLE_DOMAIN_APS,0.1,0.9988742719429582,0.9769968051118211,-0.07699680511182105,0.07699680511182105,3.5478121961383526,4.0,0.013196277260730657,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C4,ORACLE_DOMAIN_APS,0.05,0.9996636765559389,0.9823864425614669,-0.032386442561466944,0.032386442561466944,3.8321572440616753,4.0,0.0017502430893179609,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C4,ORACLE_CONDITION_APS,0.1,0.993105767917706,0.9156271704403389,-0.0156271704403389,0.0156271704403389,2.717099597166273,3.0,0.09761077927489929,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C4,ORACLE_CONDITION_APS,0.05,0.9972896300721572,0.9596332824003334,-0.009633282400333454,0.009633282400333454,3.205931379358244,3.0,0.038338658146964855,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C5,SOURCE_APS,0.1,0.9999999951442968,0.9305181275177108,-0.03051812751771077,0.03051812751771077,4.0,4.0,0.0,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C5,SOURCE_APS,0.05,0.9999999992237567,0.9305181275177108,0.019481872482289164,0.019481872482289164,4.0,4.0,0.0,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C5,ORACLE_DOMAIN_APS,0.1,0.9988742719429582,0.9258369217946937,-0.025836921794693657,0.025836921794693657,3.908987359355466,4.0,0.009709681900263925,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C5,ORACLE_DOMAIN_APS,0.05,0.9996636765559389,0.9292262814279761,0.020773718572023814,0.020773718572023814,3.9645506320322266,4.0,0.00419502708709543,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C5,ORACLE_CONDITION_APS,0.1,0.9941032800631762,0.9017641339074871,-0.0017641339074870865,0.0017641339074870865,3.6184331157105154,4.0,0.03018474788165023,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,42,C5,ORACLE_CONDITION_APS,0.05,0.9999999999999999,1.0,-0.050000000000000044,0.050000000000000044,5.0,5.0,0.0,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,2026,C3,SOURCE_APS,0.1,0.9999999720826965,0.966328656757883,-0.06632865675788302,0.06632865675788302,3.987428809556883,4.0,5.5563272676760664e-05,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,2026,C3,SOURCE_APS,0.05,0.9999999953148415,0.966328656757883,-0.016328656757883087,0.016328656757883087,3.9979163772746213,4.0,5.5563272676760664e-05,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,2026,C3,ORACLE_DOMAIN_APS,0.1,0.9988767934840816,0.9173357410751494,-0.017335741075149347,0.017335741075149347,2.7322405889706904,3.0,0.14681205723017085,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,2026,C3,ORACLE_DOMAIN_APS,0.05,0.9997648824020327,0.9469509654118627,0.0030490345881372116,0.0030490345881372116,3.1962911515488264,3.0,0.058674815946659256,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,2026,C3,ORACLE_CONDITION_APS,0.1,0.9988767934840816,0.9173357410751494,-0.017335741075149347,0.017335741075149347,2.7322405889706904,3.0,0.14681205723017085,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,2026,C3,ORACLE_CONDITION_APS,0.05,0.9997648824020327,0.9469509654118627,0.0030490345881372116,0.0030490345881372116,3.1962911515488264,3.0,0.058674815946659256,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,2026,C4,SOURCE_APS,0.1,0.9999999720826965,0.9685511876649535,-0.0685511876649535,0.0685511876649535,3.999986109181831,4.0,0.0,ORACLE_TARGET_UPPER_BOUND
