direction,seed,condition,montage,metric,probability_variant,value,subject_count,epoch_count,analysis_scope,interpretation
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.24293600249620534,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_A1A2,NLL,UNCALIBRATED,2.2583937470022195,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_A1A2,Brier,UNCALIBRATED,0.9141449310928014,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.5895000535364633,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.7563335786637373,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.6145434670035252,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.24922531067196535,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_M1M2,NLL,UNCALIBRATED,1.7320300406579199,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_M1M2,Brier,UNCALIBRATED,0.8924833024982994,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.581395514414812,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_M1M2,error_entropy_AUPRC,UNCALIBRATED,0.7358126018474592,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,17,C5,ISRUC_M1M2,entropy_AURC,UNCALIBRATED,0.6229943608092363,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_A1A2,macro-F1,UNCALIBRATED,0.5211058682133094,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_A1A2,NLL,UNCALIBRATED,1.5538092621821153,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_A1A2,Brier,UNCALIBRATED,0.5976117910876267,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_A1A2,error_entropy_AUROC,UNCALIBRATED,0.6488692083969877,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_A1A2,error_entropy_AUPRC,UNCALIBRATED,0.5476306799426601,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_A1A2,entropy_AURC,UNCALIBRATED,0.29753858892115975,17,15429,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_M1M2,macro-F1,UNCALIBRATED,0.6051823099349507,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_M1M2,NLL,UNCALIBRATED,0.9209149765397066,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_M1M2,Brier,UNCALIBRATED,0.46834578892472095,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
D1_SLEEPEDF_TO_ISRUC,42,C3,ISRUC_M1M2,error_entropy_AUROC,UNCALIBRATED,0.7367098507546962,82,73883,PRIMARY_TARGET_FREE_MONTAGE_DIAGNOSIS,MONTAGE_ASSOCIATED_SENSITIVITY
