experiment_id,condition,metric,point_estimate,seed_sd,ci95_low,ci95_high,subject_count,epoch_count,bootstrap_unit,bootstrap_replicates,probability_variant
D1_SLEEPEDF_TO_ISRUC,C2,coverage_0.05,0.9976511154308988,0.0004913189332954437,0.9965021215382924,0.9986912298047775,11,57616,SUBJECT,2000,UNCALIBRATED
D1_SLEEPEDF_TO_ISRUC,C2,gap_0.05,-0.04765111543089887,0.0004913189332954437,-0.04869122980477765,-0.04650212153829262,11,57616,SUBJECT,2000,UNCALIBRATED
D1_SLEEPEDF_TO_ISRUC,C3,macro-F1,0.6127209839207023,0.035844742342564254,0.5922643282032556,0.6311492445185383,99,89312,SUBJECT,2000,UNCALIBRATED
D1_SLEEPEDF_TO_ISRUC,C3,NLL,0.9134040911190454,0.052918396518253134,0.8498419324934329,0.9836732279786127,99,89312,SUBJECT,2000,SOURCE_TEMPERATURE_SCALED
D1_SLEEPEDF_TO_ISRUC,C3,Brier,0.46264751471409693,0.024137679264580127,0.4363584265448107,0.49025932585766585,99,89312,SUBJECT,2000,SOURCE_TEMPERATURE_SCALED
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUROC,0.7454008875438394,0.01102419267148663,0.7320628976620451,0.7586954087718389,99,89312,SUBJECT,2000,UNCALIBRATED
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUPRC,0.5527869282903785,0.027436182676424014,0.5350951384327801,0.5693903690151046,99,89312,SUBJECT,2000,UNCALIBRATED
D1_SLEEPEDF_TO_ISRUC,C3,AURC,0.17092781601599571,0.014227279028240699,0.15258302551746197,0.19043727326597332,99,89312,SUBJECT,2000,UNCALIBRATED
D1_SLEEPEDF_TO_ISRUC,C3,coverage_0.1,0.9836864027230384,0.005189898626118573,0.9781313476052675,0.9883717801569647,99,89312,SUBJECT,2000,UNCALIBRATED
D1_SLEEPEDF_TO_ISRUC,C3,gap_0.1,-0.08368640272303833,0.005189898626118573,-0.08837178015696467,-0.07813134760526759,99,89312,SUBJECT,2000,UNCALIBRATED
D1_SLEEPEDF_TO_ISRUC,C3,coverage_0.05,0.9841491998089095,0.004815433114056765,0.9787247441667588,0.9887107691891835,99,89312,SUBJECT,2000,UNCALIBRATED
D1_SLEEPEDF_TO_ISRUC,C3,gap_0.05,-0.034149199808909625,0.004815433114056764,-0.03871076918918363,-0.02872474416675881,99,89312,SUBJECT,2000,UNCALIBRATED
D1_SLEEPEDF_TO_ISRUC,C4,macro-F1,0.5430113747134614,0.04957348910127795,0.5224135818257156,0.5623757364222316,99,89312,SUBJECT,2000,UNCALIBRATED
D1_SLEEPEDF_TO_ISRUC,C4,NLL,1.0282266255823884,0.13491250201016516,0.9724918240780581,1.0895802251872204,99,89312,SUBJECT,2000,SOURCE_TEMPERATURE_SCALED
D1_SLEEPEDF_TO_ISRUC,C4,Brier,0.5240507022247133,0.04973668839763265,0.49972755573606437,0.5491848507644359,99,89312,SUBJECT,2000,SOURCE_TEMPERATURE_SCALED
