experiment_id,condition,replicate,metric,H_seed17,H_seed42,H_seed2026,H_mean,A_artifact,H_mean_minus_A
D1_SLEEPEDF_TO_ISRUC,C0,0,ERROR_AUROC,0.9367481943710596,0.9359618229249591,0.9374847397662583,0.9367315856874256,0.9367315856874256,0.0
D1_SLEEPEDF_TO_ISRUC,C0,0,ERROR_AUPRC,0.5323956295057333,0.5313841033279693,0.5335759596506859,0.5324518974947962,0.5324518974947955,6.661338147750939e-16
D1_SLEEPEDF_TO_ISRUC,C0,0,AURC,0.011297326004855274,0.010970994578244502,0.011668283111608202,0.011312201231569327,0.011312201231569318,8.673617379884035e-18
D1_SLEEPEDF_TO_ISRUC,C0,1,ERROR_AUROC,0.9456512509029454,0.9473903124950996,0.945206343468102,0.946082635622049,0.946082635622049,0.0
D1_SLEEPEDF_TO_ISRUC,C0,1,ERROR_AUPRC,0.5139392564614133,0.5157616623901558,0.5108968285589318,0.513532582470167,0.5135325824701668,2.220446049250313e-16
D1_SLEEPEDF_TO_ISRUC,C0,1,AURC,0.007556975750704301,0.007243796629438751,0.00781314875217205,0.007537973710771701,0.007537973710771685,1.5612511283791264e-17
D1_SLEEPEDF_TO_ISRUC,C0,2,ERROR_AUROC,0.9406901541714241,0.9436873700071752,0.9440830584605683,0.942820194213056,0.942820194213056,0.0
D1_SLEEPEDF_TO_ISRUC,C0,2,ERROR_AUPRC,0.4846563604230508,0.49964298709292854,0.5063221589525045,0.49687383548949465,0.4968738354894942,4.440892098500626e-16
D1_SLEEPEDF_TO_ISRUC,C0,2,AURC,0.007844425141011711,0.0074840250057040866,0.00783249599192734,0.007720315379547714,0.007720315379547721,-6.938893903907228e-18
D1_SLEEPEDF_TO_ISRUC,C3,0,ERROR_AUROC,0.7169157542109684,0.7017837628715327,0.7146525471377223,0.7111173547400744,0.7111173547400744,0.0
D1_SLEEPEDF_TO_ISRUC,C3,0,ERROR_AUPRC,0.5545507769727591,0.5297242447403253,0.5703844986805812,0.5515531734645552,0.5515531734645549,3.3306690738754696e-16
D1_SLEEPEDF_TO_ISRUC,C3,0,AURC,0.20904347887808808,0.20961387209918628,0.2307840116888514,0.2164804542220419,0.2164804542220423,-3.885780586188048e-16
D1_SLEEPEDF_TO_ISRUC,C3,1,ERROR_AUROC,0.7301341011312832,0.7190858261574385,0.7229559283649205,0.7240586185512141,0.7240586185512141,0.0
D1_SLEEPEDF_TO_ISRUC,C3,1,ERROR_AUPRC,0.5442015798247055,0.5266004442650323,0.5526972160082885,0.5411664133660087,0.5411664133660096,-8.881784197001252e-16
D1_SLEEPEDF_TO_ISRUC,C3,1,AURC,0.1841610923238617,0.18709502156727245,0.20191227631373646,0.19105613006829023,0.19105613006828956,6.661338147750939e-16
D1_SLEEPEDF_TO_ISRUC,C3,2,ERROR_AUROC,0.7243862510053523,0.7143066599197475,0.7055391229726373,0.7147440112992457,0.7147440112992457,0.0
D1_SLEEPEDF_TO_ISRUC,C3,2,ERROR_AUPRC,0.5315666373804857,0.5214801727359,0.5298730017243486,0.5276399372802447,0.5276399372802456,-8.881784197001252e-16
D1_SLEEPEDF_TO_ISRUC,C3,2,AURC,0.1841843014733769,0.19062269265089113,0.2100966093310175,0.19496786781842848,0.194967867818429,-5.273559366969494e-16
D2_ISRUC_TO_SLEEPEDF,C0,0,ERROR_AUROC,0.8078285900935405,0.8068360578661167,0.7938782898131586,0.8028476459242718,0.8028476459242718,0.0
