experiment_id,metric,contrast_name,probability_variant,point_delta,ci95_low,ci95_high,orientation,bootstrap_replicates
D2_ISRUC_TO_SLEEPEDF,gap_0.1,KNOWN_EEG_ONLY_MINUS_FULL,UNCALIBRATED,-0.019682039315846465,-0.03202804320804731,-0.009545717384011134,zero_is_ideal_signed_gap,2000
D2_ISRUC_TO_SLEEPEDF,macro-F1,KNOWN_EOG_ONLY_MINUS_FULL,UNCALIBRATED,-0.2504407575564549,-0.29605318571579126,-0.20494624478394124,higher_is_better,2000
D2_ISRUC_TO_SLEEPEDF,NLL,KNOWN_EOG_ONLY_MINUS_FULL,UNCALIBRATED,0.5534133419927248,0.47402217052534734,0.631740871188363,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,AURC,KNOWN_EOG_ONLY_MINUS_FULL,UNCALIBRATED,0.2419000311660846,0.1980096493105901,0.28568376396430256,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,gap_0.1,KNOWN_EOG_ONLY_MINUS_FULL,UNCALIBRATED,-0.00416776448243775,-0.024252498611451907,0.014127476269013834,zero_is_ideal_signed_gap,2000
D2_ISRUC_TO_SLEEPEDF,macro-F1,UNSEEN_EEG_ONLY_MINUS_FULL,UNCALIBRATED,-0.10141398573327004,-0.11217197716330467,-0.09014263699158714,higher_is_better,2000
D2_ISRUC_TO_SLEEPEDF,NLL,UNSEEN_EEG_ONLY_MINUS_FULL,UNCALIBRATED,0.49809463735482995,0.41316538890265603,0.5795202966291578,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,AURC,UNSEEN_EEG_ONLY_MINUS_FULL,UNCALIBRATED,0.1601291891830768,0.14037314776575313,0.1807838300627481,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,gap_0.1,UNSEEN_EEG_ONLY_MINUS_FULL,UNCALIBRATED,0.015295370450546677,0.0035319111533482256,0.028070242645109517,zero_is_ideal_signed_gap,2000
D2_ISRUC_TO_SLEEPEDF,macro-F1,UNSEEN_EOG_ONLY_MINUS_FULL,UNCALIBRATED,-0.12313152468978605,-0.14244266656545176,-0.10363958865354092,higher_is_better,2000
D2_ISRUC_TO_SLEEPEDF,NLL,UNSEEN_EOG_ONLY_MINUS_FULL,UNCALIBRATED,0.15176456223501683,0.04041068438404426,0.25728861069231673,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,AURC,UNSEEN_EOG_ONLY_MINUS_FULL,UNCALIBRATED,0.2936477368801021,0.2656282991989592,0.3216923247606256,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,gap_0.1,UNSEEN_EOG_ONLY_MINUS_FULL,UNCALIBRATED,-0.028427662135965932,-0.04384102610203318,-0.012987756238402448,zero_is_ideal_signed_gap,2000
D2_ISRUC_TO_SLEEPEDF,macro-F1,INTERACTION_EEG_ONLY,UNCALIBRATED,-0.01835888046633361,-0.05042582018851175,0.01790972229384239,higher_is_better,2000
D2_ISRUC_TO_SLEEPEDF,NLL,INTERACTION_EEG_ONLY,UNCALIBRATED,0.33803032614118955,0.2092206119529126,0.45511654938555557,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,AURC,INTERACTION_EEG_ONLY,UNCALIBRATED,0.11426951023859505,0.08457812599177585,0.14200870510591587,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,gap_0.1,INTERACTION_EEG_ONLY,UNCALIBRATED,0.034977409766393144,0.019412475552438937,0.05158188685624647,zero_is_ideal_signed_gap,2000
D2_ISRUC_TO_SLEEPEDF,macro-F1,INTERACTION_EOG_ONLY,UNCALIBRATED,0.12730923286666887,0.0790427708336493,0.17885019095515317,higher_is_better,2000
D2_ISRUC_TO_SLEEPEDF,NLL,INTERACTION_EOG_ONLY,UNCALIBRATED,-0.4016487797577081,-0.5394596315935718,-0.2691829562924747,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,AURC,INTERACTION_EOG_ONLY,UNCALIBRATED,0.05174770571401752,0.0001234244803696331,0.10499327842358712,lower_is_better,2000
D2_ISRUC_TO_SLEEPEDF,gap_0.1,INTERACTION_EOG_ONLY,UNCALIBRATED,-0.024259897653528185,-0.048674853183063846,0.0006327383211698432,zero_is_ideal_signed_gap,2000
