experiment_id,seed,fit_scope,fit_condition,alpha,qhat,calibration_role,calibration_subject_count,calibration_epoch_count,fit_type,analysis_scope
D2_ISRUC_TO_SLEEPEDF,17,ORACLE_CONDITION_APS,C4,0.1,0.9988330607412087,ORACLE_CALIBRATION,16,87222,ORACLE_CONDITION_APS,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,17,ORACLE_CONDITION_APS,C4,0.05,0.9999999999999999,ORACLE_CALIBRATION,16,87222,ORACLE_CONDITION_APS,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,17,ORACLE_CONDITION_APS,C5,0.1,0.9994016947416586,ORACLE_CALIBRATION,16,87222,ORACLE_CONDITION_APS,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,17,ORACLE_CONDITION_APS,C5,0.05,0.9998462021168002,ORACLE_CALIBRATION,16,87222,ORACLE_CONDITION_APS,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,ORACLE_DOMAIN_APS,C3,0.1,0.9999043306699129,ORACLE_CALIBRATION,16,87222,ORACLE_DOMAIN_APS,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,ORACLE_DOMAIN_APS,C3,0.05,0.999986697489,ORACLE_CALIBRATION,16,87222,ORACLE_DOMAIN_APS,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,ORACLE_CONDITION_APS,C3,0.1,0.9999043306699129,ORACLE_CALIBRATION,16,87222,ORACLE_CONDITION_APS,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,ORACLE_CONDITION_APS,C3,0.05,0.999986697489,ORACLE_CALIBRATION,16,87222,ORACLE_CONDITION_APS,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,ORACLE_CONDITION_APS,C4,0.1,0.9998098565569981,ORACLE_CALIBRATION,16,87222,ORACLE_CONDITION_APS,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,ORACLE_CONDITION_APS,C4,0.05,1.0,ORACLE_CALIBRATION,16,87222,ORACLE_CONDITION_APS,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,ORACLE_CONDITION_APS,C5,0.1,0.9991833308162368,ORACLE_CALIBRATION,16,87222,ORACLE_CONDITION_APS,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,42,ORACLE_CONDITION_APS,C5,0.05,0.9997844207545358,ORACLE_CALIBRATION,16,87222,ORACLE_CONDITION_APS,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,ORACLE_DOMAIN_APS,C3,0.1,0.9986571415929776,ORACLE_CALIBRATION,16,87222,ORACLE_DOMAIN_APS,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,ORACLE_DOMAIN_APS,C3,0.05,0.9997692790900338,ORACLE_CALIBRATION,16,87222,ORACLE_DOMAIN_APS,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,ORACLE_CONDITION_APS,C3,0.1,0.9986571415929776,ORACLE_CALIBRATION,16,87222,ORACLE_CONDITION_APS,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,ORACLE_CONDITION_APS,C3,0.05,0.9997692790900338,ORACLE_CALIBRATION,16,87222,ORACLE_CONDITION_APS,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,ORACLE_CONDITION_APS,C4,0.1,0.9999999999999999,ORACLE_CALIBRATION,16,87222,ORACLE_CONDITION_APS,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,ORACLE_CONDITION_APS,C4,0.05,1.0,ORACLE_CALIBRATION,16,87222,ORACLE_CONDITION_APS,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,ORACLE_CONDITION_APS,C5,0.1,0.9906636662949777,ORACLE_CALIBRATION,16,87222,ORACLE_CONDITION_APS,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,2026,ORACLE_CONDITION_APS,C5,0.05,0.9959784718374018,ORACLE_CALIBRATION,16,87222,ORACLE_CONDITION_APS,ORACLE_TARGET_UPPER_BOUND
