experiment_id,contrast,metric,point_delta,ci95_low,ci95_high
D1_SLEEPEDF_TO_ISRUC,C1-C0,macro-F1,-0.057944570045116696,-0.07358089744456098,-0.04103888665299323
D1_SLEEPEDF_TO_ISRUC,C2-C0,macro-F1,-0.10628018388258895,-0.1443391148153283,-0.06262520249233099
D1_SLEEPEDF_TO_ISRUC,C4-C3,macro-F1,-0.06958432990299303,-0.07984697872420862,-0.05941901353654927
D1_SLEEPEDF_TO_ISRUC,C5-C3,macro-F1,-0.13779788071601218,-0.15285050735808905,-0.12315228314822368
D1_SLEEPEDF_TO_ISRUC,C1-C0,NLL,0.0453843800008092,0.03455582591213957,0.05735723480301537
D1_SLEEPEDF_TO_ISRUC,C2-C0,NLL,0.12261770171886141,0.08365270070130958,0.16429065675793486
D1_SLEEPEDF_TO_ISRUC,C4-C3,NLL,0.11454000069095772,0.08523740647230461,0.14146865368718015
D1_SLEEPEDF_TO_ISRUC,C5-C3,NLL,0.28792796872747467,0.2321024036209483,0.34917823047111735
D1_SLEEPEDF_TO_ISRUC,C1-C0,Brier,0.02165428035238176,0.015832440690197652,0.0278568992605999
D1_SLEEPEDF_TO_ISRUC,C2-C0,Brier,0.058851088575353275,0.03879020675853786,0.08097778101849301
D1_SLEEPEDF_TO_ISRUC,C4-C3,Brier,0.06126628691291778,0.04879994436668055,0.07295580589358983
D1_SLEEPEDF_TO_ISRUC,C5-C3,Brier,0.1395371101499369,0.11831798302504809,0.16210472920202645
D1_SLEEPEDF_TO_ISRUC,C1-C0,ERROR_AUROC,-0.009603477342264934,-0.01267586849701508,-0.006482601127002115
D1_SLEEPEDF_TO_ISRUC,C2-C0,ERROR_AUROC,-0.027028031969307212,-0.04082048536689237,-0.015941138736861128
D1_SLEEPEDF_TO_ISRUC,C4-C3,ERROR_AUROC,-0.024070469168881475,-0.03356983395534796,-0.014878368053606005
D1_SLEEPEDF_TO_ISRUC,C5-C3,ERROR_AUROC,-0.06905204253318721,-0.08452301970400104,-0.05456599626766694
D1_SLEEPEDF_TO_ISRUC,C1-C0,ERROR_AUPRC,0.004153931204542622,-0.011236652876810796,0.02115931376433839
D1_SLEEPEDF_TO_ISRUC,C2-C0,ERROR_AUPRC,0.009327571832848732,-0.024224986998547565,0.042872228326256694
D1_SLEEPEDF_TO_ISRUC,C4-C3,ERROR_AUPRC,0.03358695894245639,0.022983916168785506,0.044965801744877
D1_SLEEPEDF_TO_ISRUC,C5-C3,ERROR_AUPRC,0.03670881241737089,0.022589332777676233,0.05132546706387352
D1_SLEEPEDF_TO_ISRUC,C1-C0,AURC,0.0036187062204540415,0.0023608311753254077,0.004912475606796169
D1_SLEEPEDF_TO_ISRUC,C2-C0,AURC,0.011111191658263395,0.00623441939466805,0.018170855316576275
D1_SLEEPEDF_TO_ISRUC,C4-C3,AURC,0.05621660197176246,0.04558175086331733,0.06617149671900377
D1_SLEEPEDF_TO_ISRUC,C5-C3,AURC,0.12929621090208293,0.10643130325013808,0.15376282636404226
D1_SLEEPEDF_TO_ISRUC,C1-C0,coverage_0.1,-0.00018976766017007535,-0.0005902236525219262,0.00011029811693909207
D1_SLEEPEDF_TO_ISRUC,C2-C0,coverage_0.1,-0.0017548352017579816,-0.0029626641589032415,-0.0006523239639252638
D1_SLEEPEDF_TO_ISRUC,C4-C3,coverage_0.1,-0.007398161207955965,-0.009607980095510773,-0.00528814321213888
D1_SLEEPEDF_TO_ISRUC,C5-C3,coverage_0.1,-0.0032370779147061868,-0.0066595514562256125,0.00034912094292066913
D1_SLEEPEDF_TO_ISRUC,C1-C0,gap_0.1,0.00018976766017007784,-0.00011029811693920137,0.0005902236525220343
D1_SLEEPEDF_TO_ISRUC,C2-C0,gap_0.1,0.0017548352017579857,0.0006523239639251926,0.0029626641589034553
D1_SLEEPEDF_TO_ISRUC,C4-C3,gap_0.1,0.007398161207955961,0.00528814321213877,0.009607980095510798
D1_SLEEPEDF_TO_ISRUC,C5-C3,gap_0.1,0.0032370779147061837,-0.0003491209429207137,0.006659551456225574
D1_SLEEPEDF_TO_ISRUC,C1-C0,coverage_0.05,-0.0002944323523399337,-0.0006777926977429294,-2.2076983392521623e-05
D1_SLEEPEDF_TO_ISRUC,C2-C0,coverage_0.05,-0.0018652954464271727,-0.0030506743824939785,-0.000791173036680265
D1_SLEEPEDF_TO_ISRUC,C4-C3,coverage_0.05,-0.007841828239415262,-0.009975083188150328,-0.005751033985508917
D1_SLEEPEDF_TO_ISRUC,C5-C3,coverage_0.05,-0.00369573880825176,-0.007005721399459761,-0.0002182901095668104
D1_SLEEPEDF_TO_ISRUC,C1-C0,gap_0.05,0.0002944323523399326,2.207698339255354e-05,0.0006777926977428184
D1_SLEEPEDF_TO_ISRUC,C2-C0,gap_0.05,0.0018652954464271735,0.0007911730366802668,0.0030506743824939776
D1_SLEEPEDF_TO_ISRUC,C4-C3,gap_0.05,0.007841828239415266,0.00575103398550877,0.009975083188150366
D1_SLEEPEDF_TO_ISRUC,C5-C3,gap_0.05,0.0036957388082517603,0.00021829010956670084,0.007005721399459798
D2_ISRUC_TO_SLEEPEDF,C1-C0,macro-F1,-0.06841409744028476,-0.10532564055993311,-0.03752859292471311
D2_ISRUC_TO_SLEEPEDF,C2-C0,macro-F1,-0.09770473775365338,-0.11922644512360192,-0.07950423098695147
D2_ISRUC_TO_SLEEPEDF,C4-C3,macro-F1,-0.055351603047267134,-0.06632988199227767,-0.04458198559198781
D2_ISRUC_TO_SLEEPEDF,C5-C3,macro-F1,-0.13641052199466797,-0.15429927309687977,-0.11851011886979437
D2_ISRUC_TO_SLEEPEDF,C1-C0,NLL,0.14212616114260798,0.07636446859139834,0.2424888539464705
D2_ISRUC_TO_SLEEPEDF,C2-C0,NLL,0.23587496392258175,0.19552596763222135,0.2820474429323102
D2_ISRUC_TO_SLEEPEDF,C4-C3,NLL,0.14839947349255267,0.1026976398750255,0.1948588332376768
D2_ISRUC_TO_SLEEPEDF,C5-C3,NLL,0.3686036995384478,0.276621796236829,0.45852131236238597
D2_ISRUC_TO_SLEEPEDF,C1-C0,Brier,0.07137490851320964,0.03669799126759398,0.12168910969756029
D2_ISRUC_TO_SLEEPEDF,C2-C0,Brier,0.11276786690956637,0.09378364281831834,0.13516556097538043
D2_ISRUC_TO_SLEEPEDF,C4-C3,Brier,0.0761517384383477,0.05975898924255642,0.09241936165799021
D2_ISRUC_TO_SLEEPEDF,C5-C3,Brier,0.23600432566776453,0.20312270089517037,0.2674473050949279
D2_ISRUC_TO_SLEEPEDF,C1-C0,ERROR_AUROC,-0.026818407938543565,-0.041250593133533416,-0.01300872822322175
D2_ISRUC_TO_SLEEPEDF,C2-C0,ERROR_AUROC,-0.06006943666072504,-0.07570789426960642,-0.04404316759875877
D2_ISRUC_TO_SLEEPEDF,C4-C3,ERROR_AUROC,-0.03831828926094088,-0.04906404871803085,-0.027995209055892197
D2_ISRUC_TO_SLEEPEDF,C5-C3,ERROR_AUROC,-0.1328711697837626,-0.14861145772643902,-0.11712670470855235
D2_ISRUC_TO_SLEEPEDF,C1-C0,ERROR_AUPRC,0.03146770752035777,-0.012058613483214953,0.0777605839386957
D2_ISRUC_TO_SLEEPEDF,C2-C0,ERROR_AUPRC,0.02383505499457668,-0.0031163557699576015,0.04975863730590647
D2_ISRUC_TO_SLEEPEDF,C4-C3,ERROR_AUPRC,0.031465956361812625,0.01646538301728359,0.046676135405299336
D2_ISRUC_TO_SLEEPEDF,C5-C3,ERROR_AUPRC,0.07491536939722516,0.059789945203291534,0.09023274679040785
D2_ISRUC_TO_SLEEPEDF,C1-C0,AURC,0.038338626272776836,0.018525649789489965,0.0659455890557988
D2_ISRUC_TO_SLEEPEDF,C2-C0,AURC,0.06806437903936297,0.051430964030961854,0.08824018260159698
D2_ISRUC_TO_SLEEPEDF,C4-C3,AURC,0.07441198815538339,0.061188117835329216,0.08875863841360788
D2_ISRUC_TO_SLEEPEDF,C5-C3,AURC,0.2560403906299006,0.225436487749996,0.2874312761659867
D2_ISRUC_TO_SLEEPEDF,C1-C0,coverage_0.1,0.022618276316469052,0.013793418515172523,0.03455254428505426
D2_ISRUC_TO_SLEEPEDF,C2-C0,coverage_0.1,0.01892595866628536,0.00985273989183937,0.02968400602563699
D2_ISRUC_TO_SLEEPEDF,C4-C3,coverage_0.1,0.013649438771569797,0.0039781567954461,0.02270235284673492
D2_ISRUC_TO_SLEEPEDF,C5-C3,coverage_0.1,0.017173586928810394,0.004400483743815303,0.029324887936377424
D2_ISRUC_TO_SLEEPEDF,C1-C0,gap_0.1,-0.022618276316469052,-0.03455254428505423,-0.013793418515172389
D2_ISRUC_TO_SLEEPEDF,C2-C0,gap_0.1,-0.018925958666285353,-0.02968400602563706,-0.00985273989183937
D2_ISRUC_TO_SLEEPEDF,C4-C3,gap_0.1,-0.013649438771569797,-0.022702352846734962,-0.003978156795446138
D2_ISRUC_TO_SLEEPEDF,C5-C3,gap_0.1,-0.0171735869288104,-0.029324887936377466,-0.004400483743815237
D2_ISRUC_TO_SLEEPEDF,C1-C0,coverage_0.05,0.010619382404196537,0.005227375175191456,0.017736713769827873
D2_ISRUC_TO_SLEEPEDF,C2-C0,coverage_0.05,0.0037606519879411263,-0.0017194693458192271,0.009906706339117787
D2_ISRUC_TO_SLEEPEDF,C4-C3,coverage_0.05,0.005005178119435939,-0.00436168616488678,0.013646275216928839
D2_ISRUC_TO_SLEEPEDF,C5-C3,coverage_0.05,0.014425959240715772,0.004081085028985798,0.023871984159051365
D2_ISRUC_TO_SLEEPEDF,C1-C0,gap_0.05,-0.010619382404196536,-0.017736713769827855,-0.0052273751751914215
D2_ISRUC_TO_SLEEPEDF,C2-C0,gap_0.05,-0.0037606519879411246,-0.009906706339117746,0.0017194693458192892
D2_ISRUC_TO_SLEEPEDF,C4-C3,gap_0.05,-0.005005178119435941,-0.013646275216928815,0.00436168616488681
D2_ISRUC_TO_SLEEPEDF,C5-C3,gap_0.05,-0.014425959240715774,-0.02387198415905119,-0.004081085028985766
