experiment_id,condition,b0_macro_F1,b1_macro_F1,b1_minus_b0_macro_F1,b1_NLL,b1_Brier,b1_ECE,b1_AURC,b1_AUROC,b1_AUPRC,b1_coverage_alpha_0.10,b1_abs_gap_alpha_0.10,b1_mean_set_size_alpha_0.10,step15_3_residual_label
D1_SLEEPEDF_TO_ISRUC,C4,0.5169987322832309,0.5649422135059016,0.04794348122267067,0.9579181801963658,0.5002479416828665,0.05923144055567308,0.22728119294083457,0.7212887546194698,0.5863720499631265,0.9770243640272304,0.07702436402723034,3.695841544249373,MIXED_RELIABILITY_RESPONSE
D1_SLEEPEDF_TO_ISRUC,C5,0.2622890144843953,0.4853252302099258,0.2230362157255305,1.2079840170633969,0.6073188979484794,0.09702577012429706,0.3000112218093998,0.6764117077799984,0.5893561426231925,0.9717171264779649,0.07171712647796491,3.9428968111787888,RELIABILITY_IMPROVES_WITH_PREDICTION
D1_SLEEPEDF_TO_ISRUC,C4,0.5002392109983343,0.5778368884161587,0.0775976774178243,0.9629062983019335,0.49516707483035693,0.03614523786972954,0.22728119294083457,0.7212887546194698,0.5863720499631265,0.98398871372268,0.08398871372268002,3.9357309208169116,MIXED_RELIABILITY_RESPONSE
D1_SLEEPEDF_TO_ISRUC,C5,0.27094945288726185,0.4469747386348198,0.17602528574755794,1.20675958376055,0.6142653314686107,0.12494697319144189,0.3000112218093998,0.6764117077799984,0.5893561426231925,0.9819621103547116,0.08196211035471157,3.965413382300251,RELIABILITY_IMPROVES_WITH_PREDICTION
D1_SLEEPEDF_TO_ISRUC,C4,0.5019351841512172,0.48625502221832395,-0.015680161932893233,1.189734773396763,0.5828298610791953,0.11542134755611996,0.22728119294083457,0.7212887546194698,0.5863720499631265,0.9574301325689717,0.05743013256897167,3.7417256359727697,MIXED_RELIABILITY_RESPONSE
D1_SLEEPEDF_TO_ISRUC,C5,0.3354254074681887,0.4930215294864464,0.15759612201825768,1.096810521478573,0.5619520830208411,0.09790747471630809,0.3000112218093998,0.6764117077799984,0.5893561426231925,0.9856122357577929,0.08561223575779286,3.942975188104622,RELIABILITY_IMPROVES_WITH_PREDICTION
D2_ISRUC_TO_SLEEPEDF,C4,0.4379229828094882,0.4388687578153119,0.0009457750058237124,1.1282670177757104,0.49976263491620293,0.08033278612655873,0.2253135026771518,0.7169004155980762,0.5649256558822696,0.8937008538151778,0.006299146184822191,2.9382664876940243,RELIABILITY_IMPROVES_WITH_PREDICTION
D2_ISRUC_TO_SLEEPEDF,C5,0.36091637335820304,0.34098835205871075,-0.019928021299492282,1.5497190176182762,0.7580633973462803,0.21900086853409673,0.4069023697889411,0.6223815244762559,0.608135307034503,0.73600410641,0.16399589359,2.477194242350486,MIXED_RELIABILITY_RESPONSE
D2_ISRUC_TO_SLEEPEDF,C4,0.3803138644031402,0.4582366445364522,0.077922780133312,1.095774840227456,0.4802069907881213,0.06012285637639167,0.2253135026771518,0.7169004155980762,0.5649256558822696,0.8670115986803579,0.03298840131964209,2.642074797390598,RELIABILITY_IMPROVES_WITH_PREDICTION
D2_ISRUC_TO_SLEEPEDF,C5,0.364929389371306,0.360689754019603,-0.004239635351702964,1.3783964957391068,0.6726128931514146,0.1465668883574789,0.4069023697889411,0.6223815244762559,0.608135307034503,0.8102761464330382,0.08972385356696178,2.644981094608891,MIXED_RELIABILITY_RESPONSE
D2_ISRUC_TO_SLEEPEDF,C4,0.3287069319532113,0.4293691070753898,0.10066217512217845,1.3017646070275264,0.5401673394733127,0.08909423352639788,0.2253135026771518,0.7169004155980762,0.5649256558822696,0.8526319340853719,0.047368065914628166,2.8418116401300364,RELIABILITY_IMPROVES_WITH_PREDICTION
D2_ISRUC_TO_SLEEPEDF,C5,0.3554438410432327,0.38179337920713935,0.02634953816390667,1.205711186655819,0.5797172799397327,0.10285964786802021,0.4069023697889411,0.6223815244762559,0.608135307034503,0.8610616419374351,0.03893835806256496,2.623273030477563,MIXED_RELIABILITY_RESPONSE
