experiment_id,condition,metric,contrast,point_delta,ci95_low,ci95_high,bootstrap_replicates,bootstrap_seed,analysis_scope
D1_SLEEPEDF_TO_ISRUC,C5,ECE,ORACLE_DOMAIN_MINUS_SOURCE,-0.08728428387687379,-0.08944354227180172,-0.08394207721794539,2000,2028,ORACLE_TARGET_UPPER_BOUND
D1_SLEEPEDF_TO_ISRUC,C5,ECE,ORACLE_CONDITION_MINUS_DOMAIN,-0.06765086458307037,-0.07048996568830647,-0.05541522946360616,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C3,NLL,ORACLE_CONDITION_MINUS_SOURCE,-0.1235603404635418,-0.16309875775720944,-0.08427454381920964,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C3,NLL,ORACLE_DOMAIN_MINUS_SOURCE,-0.1235603404635418,-0.16309875775720944,-0.08427454381920964,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C3,NLL,ORACLE_CONDITION_MINUS_DOMAIN,0.0,0.0,0.0,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C3,Brier,ORACLE_CONDITION_MINUS_SOURCE,-0.011909062721051578,-0.01907001720846382,-0.004909025167549502,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C3,Brier,ORACLE_DOMAIN_MINUS_SOURCE,-0.011909062721051578,-0.01907001720846382,-0.004909025167549502,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C3,Brier,ORACLE_CONDITION_MINUS_DOMAIN,0.0,0.0,0.0,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C3,ECE,ORACLE_CONDITION_MINUS_SOURCE,-0.06293539010582637,-0.08583804416200569,-0.03580118801026118,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C3,ECE,ORACLE_DOMAIN_MINUS_SOURCE,-0.06293539010582637,-0.08583804416200569,-0.03580118801026118,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C3,ECE,ORACLE_CONDITION_MINUS_DOMAIN,0.0,0.0,0.0,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C4,NLL,ORACLE_CONDITION_MINUS_SOURCE,-0.1983667798427593,-0.2844605157869836,-0.11268306536075373,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C4,NLL,ORACLE_DOMAIN_MINUS_SOURCE,-0.17940643804081047,-0.238414155936819,-0.122088704066198,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C4,NLL,ORACLE_CONDITION_MINUS_DOMAIN,-0.018960341801948832,-0.046805814634302875,0.009534862958779809,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C4,Brier,ORACLE_CONDITION_MINUS_SOURCE,-0.01040001963847026,-0.031105534010389766,0.01098448032014385,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C4,Brier,ORACLE_DOMAIN_MINUS_SOURCE,-0.01719839561389247,-0.028705764194974382,-0.005252882435397889,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C4,Brier,ORACLE_CONDITION_MINUS_DOMAIN,0.006798375975422211,-0.0026327526429637815,0.01653479512700508,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C4,ECE,ORACLE_CONDITION_MINUS_SOURCE,-0.018004334085330906,-0.07188117082222638,0.0389795455045333,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C4,ECE,ORACLE_DOMAIN_MINUS_SOURCE,-0.04850261692002171,-0.07605815036017223,-0.010228826188106629,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C4,ECE,ORACLE_CONDITION_MINUS_DOMAIN,0.030498282834690804,0.004705453037315481,0.050846283013699096,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C5,NLL,ORACLE_CONDITION_MINUS_SOURCE,-0.04349511781796522,-0.06678479725239028,-0.0245677696718336,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C5,NLL,ORACLE_DOMAIN_MINUS_SOURCE,-0.028225919208151762,-0.05286366393997771,-0.007839982024376236,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C5,NLL,ORACLE_CONDITION_MINUS_DOMAIN,-0.015269198609813461,-0.0185058267303849,-0.011764122737079937,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C5,Brier,ORACLE_CONDITION_MINUS_SOURCE,-0.028658000252019034,-0.03339448167671085,-0.023847444187415485,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C5,Brier,ORACLE_DOMAIN_MINUS_SOURCE,-0.029475956221276967,-0.03560699196024621,-0.023173333075163748,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C5,Brier,ORACLE_CONDITION_MINUS_DOMAIN,0.000817955969257933,-0.0008924208178423912,0.0026188800773610304,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C5,ECE,ORACLE_CONDITION_MINUS_SOURCE,-0.05317813351687832,-0.06416843988095217,-0.042264401217497825,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C5,ECE,ORACLE_DOMAIN_MINUS_SOURCE,-0.065840299991452,-0.08422666707321874,-0.048924622937496415,2000,2028,ORACLE_TARGET_UPPER_BOUND
D2_ISRUC_TO_SLEEPEDF,C5,ECE,ORACLE_CONDITION_MINUS_DOMAIN,0.012662166474573675,0.004845307198624388,0.02084081427788328,2000,2028,ORACLE_TARGET_UPPER_BOUND
