experiment_id,contrast,target_condition,source_condition,metric,point_delta,ci95_low,ci95_high,bootstrap_replicates,bootstrap_unit,analysis_scope
D2_ISRUC_TO_SLEEPEDF,DOMAIN_FULL,C3,C0,error_AUROC,-0.05865840935757871,nan,nan,0,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,DOMAIN_FULL,C3,C0,error_AUPRC,0.022874995115069408,nan,nan,0,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,DOMAIN_FULL,C3,C0,AURC,0.07477756612019966,nan,nan,0,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,DOMAIN_FULL,C3,C0,gap,0.07445926672946586,0.052008869804324065,0.0949423223582778,2000,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,DOMAIN_EEG_ONLY,C4,C1,macro-F1,-0.26397241604002936,-0.3133919414703939,-0.2087522461924333,2000,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,DOMAIN_EEG_ONLY,C4,C1,NLL,0.8112416474545316,0.6176893567911099,0.9970200131434107,2000,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,DOMAIN_EEG_ONLY,C4,C1,Brier,0.25226793717692914,0.18118621305085753,0.31865387265220296,2000,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,DOMAIN_EEG_ONLY,C4,C1,error_AUROC,-0.07118509905433397,nan,nan,0,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,DOMAIN_EEG_ONLY,C4,C1,error_AUPRC,0.09663698091842321,nan,nan,0,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,DOMAIN_EEG_ONLY,C4,C1,AURC,0.18920268632607873,nan,nan,0,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,DOMAIN_EEG_ONLY,C4,C1,gap,0.1095265772298644,0.08982691579241588,0.12918047443880323,2000,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,DOMAIN_EOG_ONLY,C5,C2,macro-F1,-0.12435080659923003,-0.1777711253101917,-0.06021235703984189,2000,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,DOMAIN_EOG_ONLY,C5,C2,NLL,0.0725723303797922,-0.04476409785293265,0.19209643546006602,2000,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,DOMAIN_EOG_ONLY,C5,C2,Brier,0.07844246535185007,0.024886535402364247,0.13316269702142047,2000,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,DOMAIN_EOG_ONLY,C5,C2,error_AUROC,-0.08616524502146095,nan,nan,0,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,DOMAIN_EOG_ONLY,C5,C2,error_AUPRC,-0.01232934504553492,nan,nan,0,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,DOMAIN_EOG_ONLY,C5,C2,AURC,0.12771978558214556,nan,nan,0,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,DOMAIN_EOG_ONLY,C5,C2,gap,0.050325306738574306,0.03721091596959741,0.06344013673084505,2000,independent_subject_populations,PRIMARY_TARGET_FREE_DOMAIN_DIAGNOSIS
