model,experiment,seed,condition,replicate,metric,optimized_value,literal_value,absolute_error,tolerance,pass_
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,4,ERROR_AUROC,0.9430763926678261,0.9430763926678261,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,4,ERROR_AUPRC,0.4974830474065468,0.4974830474065452,1.609823385706477e-15,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,4,AURC,0.007343381153970772,0.007343381153970783,1.0408340855860843e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,4,coverage,0.9991476778570186,0.9991476778570186,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,4,mean_set_size,2.4388415376587234,2.4388415376587234,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,5,macro-F1,0.7752844427057914,0.7752844427057914,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,5,NLL,0.20693428048142007,0.20693428048142007,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,5,Brier,0.11319131851979293,0.11319131851979293,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,5,ECE,0.008634064875142629,0.008634064875142637,8.673617379884035e-18,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,5,ERROR_AUROC,0.9370847866944759,0.9370847866944759,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,5,ERROR_AUPRC,0.489540661072294,0.48954066107229616,2.1649348980190553e-15,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,5,AURC,0.008809682377958924,0.008809682377958913,1.0408340855860843e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,5,coverage,0.9995897671518353,0.9995897671518353,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,5,mean_set_size,2.5951822254311545,2.5951822254311545,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,6,macro-F1,0.7750140674852857,0.7750140674852857,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,6,NLL,0.20288395463051173,0.20288395463051176,2.7755575615628914e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,6,Brier,0.10857602205501471,0.10857602205501472,1.3877787807814457e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,6,ECE,0.007086074088154454,0.007086074088154454,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,6,ERROR_AUROC,0.9401957751289343,0.9401957751289343,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,6,ERROR_AUPRC,0.49082418537356753,0.49082418537356765,1.1102230246251565e-16,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,6,AURC,0.00782728240654947,0.007827282406549474,3.469446951953614e-18,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,6,coverage,0.9993839288687602,0.9993839288687602,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,6,mean_set_size,2.5875820040627393,2.5875820040627393,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,7,macro-F1,0.7827726221905349,0.7827726221905349,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,7,NLL,0.18701714859627383,0.18701714859627383,0.0,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,7,Brier,0.10211914279545287,0.10211914279545284,2.7755575615628914e-17,1e-12,True
B1,D1_SLEEPEDF_TO_ISRUC,17,C0,7,ECE,0.006294562522998146,0.006294562522998316,1.700029006457271e-16,1e-12,True
