experiment,condition,metric,v1_1_point,v1_2_point,point_delta,v1_1_ci_low,v1_1_ci_high,v1_2_ci_low,v1_2_ci_high,ci_low_delta,ci_high_delta,repair_scope,expected_change,status
D1_SLEEPEDF_TO_ISRUC,C0,macro-F1,0.7479975565180403,0.7479975565180403,0.0,0.7004930927276989,0.7741546814073377,0.7004930927276989,0.7741546814073377,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C0,NLL,0.22027111064291127,0.22027111064291127,0.0,0.18315395134501009,0.26221640528203544,0.18315395134501009,0.26221640528203544,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C0,Brier,0.11686707174564977,0.11686707174564977,0.0,0.09656731169769785,0.138939228538605,0.09656731169769785,0.138939228538605,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUROC,0.9411976019115,0.9411976019115,0.0,0.9327138459059244,0.9485767857903781,0.9327138459059244,0.9485767857903781,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUPRC,0.512446913898147,0.512446913898147,0.0,0.4899222164179091,0.5403578941548569,0.48978047993916385,0.5400465360073474,-0.00014173647874526907,-0.0003113581475094884,AUPRC/AURC,ALLOWED_AFFECTED,PASS
D1_SLEEPEDF_TO_ISRUC,C0,AURC,0.008754427262024453,0.008754427262024453,0.0,0.006032105180583637,0.012347608382109734,0.006031482037041206,0.012346873187300312,-6.23143542430489e-07,-7.351948094220379e-07,AUPRC/AURC,ALLOWED_AFFECTED,PASS
D1_SLEEPEDF_TO_ISRUC,C0,coverage_0.1,0.9995776636119595,0.9995776636119595,0.0,0.999399592540354,0.9997476751214968,0.999399592540354,0.9997476751214968,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C0,gap_0.1,-0.09957766361195959,-0.09957766361195959,0.0,-0.09974767512149679,-0.09939959254035406,-0.09974767512149679,-0.09939959254035406,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C0,coverage_0.05,0.9995834490419329,0.9995834490419329,0.0,0.99940208624042,0.99975458242213,0.99940208624042,0.99975458242213,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C0,gap_0.05,-0.04958344904193283,-0.04958344904193283,0.0,-0.04975458242213013,-0.04940208624042021,-0.04975458242213013,-0.04940208624042021,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C1,macro-F1,0.6633590456109645,0.6633590456109645,0.0,0.6010264821308611,0.6985801794425718,0.6010264821308611,0.6985801794425718,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C1,NLL,0.28017133608030936,0.28017133608030936,0.0,0.23150106516411773,0.3313386980126599,0.23150106516411773,0.3313386980126599,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C1,Brier,0.14618956846761366,0.14618956846761366,0.0,0.12099891117876926,0.1718200687535913,0.12099891117876926,0.1718200687535913,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C1,ERROR_AUROC,0.9332706622527822,0.9332706622527822,0.0,0.9267885166754721,0.93917362602957,0.9267885166754721,0.93917362602957,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C1,ERROR_AUPRC,0.5551407260803118,0.5551407260803118,0.0,0.5186303811617968,0.586586881235006,0.5183632680525574,0.5864500722226704,-0.0002671131092394363,-0.0001368090123355925,AUPRC/AURC,ALLOWED_AFFECTED,PASS
D1_SLEEPEDF_TO_ISRUC,C1,AURC,0.013381227882334494,0.013381227882334494,0.0,0.009506177358324699,0.018252437689948203,0.009504505194991792,0.018250487671827458,-1.6721633329074004e-06,-1.9500181207450507e-06,AUPRC/AURC,ALLOWED_AFFECTED,PASS
D1_SLEEPEDF_TO_ISRUC,C1,coverage_0.1,0.9985420716467649,0.9985420716467649,0.0,0.997253622221062,0.9993700628139898,0.997253622221062,0.9993700628139898,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C1,gap_0.1,-0.09854207164676476,-0.09854207164676476,0.0,-0.0993700628139897,-0.09725362222106194,-0.0993700628139897,-0.09725362222106194,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C1,coverage_0.05,0.9985420716467649,0.9985420716467649,0.0,0.997253622221062,0.9993700628139898,0.997253622221062,0.9993700628139898,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C1,gap_0.05,-0.04854207164676483,-0.04854207164676483,0.0,-0.049370062813989785,-0.04725362222106202,-0.049370062813989785,-0.04725362222106202,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C2,macro-F1,0.4662658916578722,0.4662658916578722,0.0,0.4114524500724114,0.5196539091812192,0.4114524500724114,0.5196539091812192,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C2,NLL,0.6795648008328651,0.6795648008328651,0.0,0.5222952494432189,0.8745922913237869,0.5222952494432189,0.8745922913237869,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C2,Brier,0.3592134388400295,0.3592134388400295,0.0,0.27727037107094493,0.4571036510105294,0.27727037107094493,0.4571036510105294,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C2,ERROR_AUROC,0.8160013800713969,0.8160013800713969,0.0,0.7820150639004341,0.8502060354935741,0.7820150639004341,0.8502060354935741,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C2,ERROR_AUPRC,0.5295367236541537,0.5295367236541537,0.0,0.46830883050985456,0.5900242685580585,0.46816441364551553,0.5898816713789309,-0.00014441686433902534,-0.0001425971791275682,AUPRC/AURC,ALLOWED_AFFECTED,PASS
D1_SLEEPEDF_TO_ISRUC,C2,AURC,0.09406260615611405,0.09406260615611405,0.0,0.05686347927698253,0.14777010765370754,0.056861889637413586,0.14776635190914833,-1.5896395689427023e-06,-3.7557445592140137e-06,AUPRC/AURC,ALLOWED_AFFECTED,PASS
D1_SLEEPEDF_TO_ISRUC,C2,coverage_0.1,0.9934161806905489,0.9934161806905489,0.0,0.990716353845348,0.9961596184879689,0.990716353845348,0.9961596184879689,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
D1_SLEEPEDF_TO_ISRUC,C2,gap_0.1,-0.09341618069054891,-0.09341618069054891,0.0,-0.09615961848796889,-0.09071635384534799,-0.09615961848796889,-0.09071635384534799,0.0,0.0,UNAFFE​CTED,MUST_BE_IDENTICAL,PASS
