experiment_id,seed,condition,metric,source_mask_specific,oracle_target_fit,oracle_minus_source,analysis_scope,oracle_calibration_subjects,oracle_evaluation_subjects
D2_ISRUC_TO_SLEEPEDF,17,C4,Brier,0.4933843314077207,0.4957661672543966,0.002381835846675895,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,17,C4,ECE,0.08096607412337324,0.08229744288474454,0.0013313687613712988,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,17,C4,abs_gap_0.10,0.00486698256844631,0.027869432688816365,0.023002450120370055,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,17,C4,mean_set_size_0.10,2.898651060752611,3.4065247041090623,0.5078736433564512,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,17,C5,NLL,1.5820515330886395,1.34089839979778,-0.24115313329085963,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,17,C5,Brier,0.7639330911698374,0.6895215472082151,-0.0744115439616223,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,17,C5,ECE,0.2197799476182806,0.056723515136081516,-0.1630564324821991,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,17,C5,abs_gap_0.10,0.16715160539331608,0.02019015130942614,-0.14696145408388994,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,17,C5,mean_set_size_0.10,2.495061619154266,3.401349854609918,0.9062882354556523,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,42,C4,NLL,1.08192940208866,1.0063297256045574,-0.0755996764841027,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,42,C4,Brier,0.472004797159759,0.48106304633469693,0.009058249174937916,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,42,C4,ECE,0.05744916283502187,0.07822511226283085,0.020775949427808985,DIAGNOSTIC_ORACLE_ONLY,16,62
D2_ISRUC_TO_SLEEPEDF,42,C4,abs_gap_0.10,0.0299906327901166,0.019917983517372062,-0.010072649272744538,DIAGNOSTIC_ORACLE_ONLY,16,62
