experiment_id,condition,metric,point,bootstrap_mean,bootstrap_median,bootstrap_sd,bias,ci_low,ci_high,point_inside_CI,finite_replicates,undefined_replicates
D1_SLEEPEDF_TO_ISRUC,C0,macro-F1,0.7479975565180403,0.7439463706220779,0.745999926452377,0.01992230903751191,-0.004051185895962428,0.7004930927276989,0.7741546814073377,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C0,NLL,0.22027111064291127,0.2204128326972529,0.21935979070577216,0.020369141695516787,0.00014172205434162533,0.18315395134501009,0.26221640528203544,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C0,Brier,0.11686707174564977,0.11691747959592542,0.11638594606576522,0.010892537336346942,5.040785027565775e-05,0.09656731169769785,0.138939228538605,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUROC,0.9411976019115,0.9411477684152634,0.9411856656672285,0.004070232026563091,-4.9833496236662e-05,0.9327138459059244,0.9485767857903781,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C0,ERROR_AUPRC,0.512446913898147,0.5120236758768276,0.5118495139857822,0.013538880335939203,-0.00042323802131938315,0.4899222164179091,0.5403578941548569,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C0,AURC,0.008754427262024453,0.008838948674428323,0.008688569380220477,0.0016172327986752318,8.452141240387033e-05,0.006032105180583637,0.012347608382109734,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C0,coverage_0.1,0.9995776636119595,0.999578411221148,0.9995833203044516,8.995139016088424e-05,7.476091884450753e-07,0.999399592540354,0.9997476751214968,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C0,gap_0.1,-0.09957766361195959,-0.09957841122114804,-0.09958332030445166,8.995139016088452e-05,-7.476091884450753e-07,-0.09974767512149679,-0.09939959254035406,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C0,coverage_0.05,0.9995834490419329,0.9995842525142732,0.9995891661490217,9.163822967729347e-05,8.034723403271826e-07,0.99940208624042,0.99975458242213,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C0,gap_0.05,-0.04958344904193283,-0.04958425251427322,-0.049589166149021716,9.163822967729343e-05,-8.034723403896327e-07,-0.04975458242213013,-0.04940208624042021,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C1,macro-F1,0.6633590456109645,0.658328202886741,0.661872501098894,0.025137569891147543,-0.005030842724223494,0.6010264821308611,0.6985801794425718,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C1,NLL,0.28017133608030936,0.28018774575568184,0.27967610385444763,0.025100841301615252,1.6409675372475174e-05,0.23150106516411773,0.3313386980126599,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C1,Brier,0.14618956846761366,0.1461465185906779,0.1459604583081569,0.012646448304068941,-4.3049876935763454e-05,0.12099891117876926,0.1718200687535913,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C1,ERROR_AUROC,0.9332706622527822,0.9331882185539667,0.9332078098317467,0.003071769148831901,-8.244369881549307e-05,0.9267885166754721,0.93917362602957,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C1,ERROR_AUPRC,0.5551407260803118,0.5541766504897594,0.5549127862484549,0.01697715323612053,-0.000964075590552449,0.5186303811617968,0.586586881235006,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C1,AURC,0.013381227882334494,0.0134679006372697,0.013331842158678012,0.0021583426487142158,8.66727549352058e-05,0.009506177358324699,0.018252437689948203,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C1,coverage_0.1,0.9985420716467649,0.9985273994053304,0.9985978177769166,0.0005408167175730259,-1.4672241434476874e-05,0.997253622221062,0.9993700628139898,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C1,gap_0.1,-0.09854207164676476,-0.09852739940533053,-0.0985978177769165,0.0005408167175730245,1.4672241434227073e-05,-0.0993700628139897,-0.09725362222106194,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C1,coverage_0.05,0.9985420716467649,0.9985273994053304,0.9985978177769166,0.0005408167175730259,-1.4672241434476874e-05,0.997253622221062,0.9993700628139898,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C1,gap_0.05,-0.04854207164676483,-0.048527399405330615,-0.04859781777691655,0.0005408167175730245,1.4672241434213196e-05,-0.049370062813989785,-0.04725362222106202,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C2,macro-F1,0.4662658916578722,0.4663614043130864,0.4656811650367856,0.02802280028637379,9.551265521423602e-05,0.4114524500724114,0.5196539091812192,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C2,NLL,0.6795648008328651,0.68136859826794,0.6756771139806638,0.09045091521936979,0.001803797435074972,0.5222952494432189,0.8745922913237869,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C2,Brier,0.3592134388400295,0.3601566034993678,0.3575067071253957,0.046384016462951705,0.0009431646593383025,0.27727037107094493,0.4571036510105294,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C2,ERROR_AUROC,0.8160013800713969,0.8159577548316774,0.8161962319421239,0.01752812089517369,-4.3625239719458087e-05,0.7820150639004341,0.8502060354935741,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C2,ERROR_AUPRC,0.5295367236541537,0.5300306984324791,0.5308336615370992,0.03103481758778977,0.0004939747783253567,0.46830883050985456,0.5900242685580585,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C2,AURC,0.09406260615611405,0.09591463893498985,0.09330155371612572,0.023577645057886894,0.0018520327788758006,0.05686347927698253,0.14777010765370754,True,2000,0
D1_SLEEPEDF_TO_ISRUC,C2,coverage_0.1,0.9934161806905489,0.9933847779003538,0.9933889779683547,0.0013966360121871772,-3.1402790195089736e-05,0.990716353845348,0.9961596184879689,True,2000,0
