experiment_id,condition,seed,alpha,signed_coverage_gap,absolute_coverage_error,mean_set_size,median_set_size,singleton_fraction,orientation,analysis_scope
D1_SLEEPEDF_TO_ISRUC,C4,2026,0.1,-0.06882837692583299,0.06882837692583299,3.9999888032963096,4.0,0.0,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C4,2026,0.05,-0.018828376925833057,0.018828376925833057,4.0,4.0,0.0,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C5,17,0.1,-0.03847411322106764,0.03847411322106764,4.0,4.0,0.0,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C5,17,0.05,0.011525886778932293,0.011525886778932293,4.0,4.0,0.0,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C5,42,0.1,-0.033323629523468234,0.033323629523468234,4.0,4.0,0.0,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C5,42,0.05,0.0166763704765317,0.0166763704765317,4.0,4.0,0.0,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C5,2026,0.1,-0.04251612325331422,0.04251612325331422,4.0,4.0,0.0,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D1_SLEEPEDF_TO_ISRUC,C5,2026,0.05,0.007483876746685714,0.007483876746685714,4.0,4.0,0.0,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C0,17,0.1,-0.06917077477742617,0.06917077477742617,2.497167243028475,3.0,0.2844529468030314,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C0,17,0.05,-0.035946582297108454,0.035946582297108454,2.916415274814215,3.0,0.2102862188212788,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C0,42,0.1,-0.06880288426164372,0.06880288426164372,2.510190567287175,3.0,0.233684055625046,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C0,42,0.05,-0.0381539253918034,0.0381539253918034,3.0106688249576927,3.0,0.1523802516371128,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C0,2026,0.1,-0.05886984033551612,0.05886984033551612,2.587447575601501,3.0,0.2816569788830844,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C0,2026,0.05,-0.02719078802148489,0.02719078802148489,2.9534250607019352,3.0,0.2121256714001913,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C1,17,0.1,-0.09139136193068942,0.09139136193068942,3.295121771760724,4.0,0.12125671400191303,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C1,17,0.05,-0.04337797071591498,0.04337797071591498,3.6220292840850563,4.0,0.06842763593554559,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C1,42,0.1,-0.08741814436023843,0.08741814436023843,3.3682584062982857,4.0,0.1063939371642999,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C1,42,0.05,-0.04249503347803696,0.04249503347803696,3.7577808844088,4.0,0.047752188948568905,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C1,2026,0.1,-0.07704363181517182,0.07704363181517182,3.075417555735413,4.0,0.1872562725332941,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
D2_ISRUC_TO_SLEEPEDF,C1,2026,0.05,-0.03866897211389897,0.03866897211389897,3.399455522036642,4.0,0.12442057243764255,zero_is_ideal_signed_gap,PRIMARY_TARGET_FREE_DIAGNOSIS
