experiment_id,condition,metric,original_b1_source_global_full,b1_source_mask_specific,delta_mask_minus_global,paired_ci95_low,paired_ci95_high,favorable_direction,bootstrap_replicates,bootstrap_seed,calibration_scope
D2_ISRUC_TO_SLEEPEDF,C0,NLL,0.5963034907825693,0.5963034907825693,0.0,0.0,0.0,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
D2_ISRUC_TO_SLEEPEDF,C0,Brier,0.322898935453056,0.322898935453056,0.0,0.0,0.0,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
D2_ISRUC_TO_SLEEPEDF,C0,ECE,0.027934032596919428,0.027934032596919428,0.0,0.0,0.0,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
D2_ISRUC_TO_SLEEPEDF,C0,abs_gap_0.10,0.06421651583155519,0.06421651583155519,0.0,0.0,0.0,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
D2_ISRUC_TO_SLEEPEDF,C1,NLL,0.7389584474911525,0.7342196105280312,-0.0047388369631212734,0.004877056378984242,0.02279239945455987,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
D2_ISRUC_TO_SLEEPEDF,C1,Brier,0.39451817014782947,0.392359267284464,-0.0021589028633655083,0.0014485159803576304,0.0048072271921156635,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
D2_ISRUC_TO_SLEEPEDF,C1,ECE,0.033145158981719616,0.01696478334517798,-0.01618037563654164,0.0069954971048366175,0.016361863748166377,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
D2_ISRUC_TO_SLEEPEDF,C1,abs_gap_0.10,0.08680499350060085,0.0573737522380006,-0.029431241262600254,0.04006410256410261,0.06339855529840803,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
D2_ISRUC_TO_SLEEPEDF,C2,NLL,0.8320283849536764,0.8272170701880781,-0.004811314765598189,-0.003709688502451384,0.00449823199036592,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
D2_ISRUC_TO_SLEEPEDF,C2,Brier,0.43553333371842123,0.43317498487859996,-0.0023583488398212595,-0.002050103216853542,0.0008065472584710501,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
D2_ISRUC_TO_SLEEPEDF,C2,ECE,0.05378841641041956,0.038850371527618145,-0.014938044882801413,-0.013157481540680605,0.0009038155699086793,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
D2_ISRUC_TO_SLEEPEDF,C2,abs_gap_0.10,0.08312608834277584,0.04157898609373848,-0.04154710224903735,0.04719963866305329,0.06816747317483696,LOWER_IS_BETTER,2000,2028,SOURCE_CALIBRATION_ONLY
