direction,condition,predictive_confound_status,b1_residual_label,simple_mask_calibration,oracle_recoverability,method_gate_implication
D1_SLEEPEDF_TO_ISRUC,C4,PREDICTIVE_CONFOUND_REDUCED,MIXED_RELIABILITY_RESPONSE,PERSISTS_AFTER_SIMPLE_SOURCE_CALIBRATION,RECOVERABLE_WITH_TARGET_LABELS_DIAGNOSTIC_ONLY,RELIABILITY_METHOD_NOT_AUTHORIZED
D1_SLEEPEDF_TO_ISRUC,C5,PREDICTIVE_CONFOUND_REDUCED,RELIABILITY_IMPROVES_WITH_PREDICTION,PERSISTS_AFTER_SIMPLE_SOURCE_CALIBRATION,RECOVERABLE_WITH_TARGET_LABELS_DIAGNOSTIC_ONLY,RELIABILITY_METHOD_NOT_AUTHORIZED
D2_ISRUC_TO_SLEEPEDF,C4,PREDICTIVE_CONFOUND_REDUCED,RELIABILITY_IMPROVES_WITH_PREDICTION,PERSISTS_AFTER_SIMPLE_SOURCE_CALIBRATION,RECOVERABLE_WITH_TARGET_LABELS_DIAGNOSTIC_ONLY,RELIABILITY_METHOD_NOT_AUTHORIZED
D2_ISRUC_TO_SLEEPEDF,C5,PREDICTIVE_CONFOUND_REMAINS,MIXED_RELIABILITY_RESPONSE,PERSISTS_AFTER_SIMPLE_SOURCE_CALIBRATION,RECOVERABLE_WITH_TARGET_LABELS_DIAGNOSTIC_ONLY,RELIABILITY_METHOD_NOT_AUTHORIZED
