direction,condition,macro_F1,NLL,AURC,abs_gap_alpha_0.10
D1,C0,0.7479975565180403,0.22027111064291127,0.008754427262024453,-0.09957766361195959
D1,C1,0.6633590456109645,0.28017133608030936,0.013381227882334494,-0.09854207164676476
D1,C2,0.4662658916578722,0.6795648008328651,0.09406260615611405,-0.09341618069054891
D1,C3,0.5948987191379381,1.0942263503766367,0.1881268837040546,-0.07985339782634655
D1,C4,0.5063910424775941,1.1172660930665559,0.25705495972924736,-0.07858817030932759
D1,C5,0.28955462494661527,1.726679451639888,0.6026596616865945,-0.03810462199928336
D2,C0,0.73072363068128,0.6355828923983516,0.0886485880922413,-0.06561449979152867
D2,C1,0.6462870090953093,0.7961944341007207,0.13441528842298545,-0.08528437936869988
D2,C2,0.4847806745234773,1.1879795139937463,0.32971057735423065,-0.06985750374022022
D2,C3,0.4835434871729308,1.1089578677682947,0.16342615421244097,0.008844766937937195
D2,C4,0.38231459305527987,1.6074360815552524,0.3236179747490642,0.02424219786116451
D2,C5,0.3604298679242472,1.2605518443735386,0.4574303629363763,-0.019532197001645917
