direction,condition,seed,model,coverage,risk
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.5899991042637047,0.28079098189547197
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.5999977606592619,0.2835202567786963
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.6099964170548191,0.28650881057268723
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.6199950734503762,0.28920231881964137
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.6299937298459334,0.29172146589414566
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.6400035829451809,0.294331700489853
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.6500022393407381,0.2973317485745784
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.6600008957362953,0.29998642825637023
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.6699995521318524,0.30316348869466403
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.6799982085274096,0.3061977211354805
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.6899968649229666,0.3089817444219067
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.6999955213185238,0.3115422758245625
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.709994177714081,0.31373105612590874
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.7199928341096381,0.3160145558596666
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.7300026872088857,0.318660081597595
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.7400013436044428,0.3213750737619343
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.75,0.32403260480114654
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.7599986563955572,0.32662021008589065
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.7699973127911143,0.3292133197615239
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.7799959691866715,0.3321849475331238
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.7899946255822285,0.33503883440104315
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.7999932819777857,0.3376954191101345
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.8099919383733429,0.3401758314671975
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.8200017914725904,0.3428778196515375
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.8300004478681476,0.3454113774636107
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.8399991042637047,0.3483378209058676
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.8499977606592619,0.35116907067114533
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.8599964170548191,0.35405166128528276
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.8699950734503762,0.3564175493236895
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.8799937298459334,0.35926406595923355
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.8899923862414905,0.3619082365669858
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.8999910426370477,0.3649290868375218
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.9100008957362953,0.3679651549080887
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.9199995521318524,0.3707206055959205
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.9299982085274096,0.373513123043583
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.9399968649229666,0.376293878717854
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.9499955213185238,0.3791928906489404
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.959994177714081,0.38217147389169454
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.9699928341096381,0.3848808754270939
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.9799914905051953,0.3877520708369037
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,0.9899901469007524,0.3906557488294239
D1_SLEEPEDF_TO_ISRUC,C4,17,B0,1.0,0.3938552490146901
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,1.1196703690433536e-05,0.0
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.010009853099247581,0.02348993288590604
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.02000850949480473,0.027420257414661444
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.030007165890361877,0.034328358208955224
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.04000582228591903,0.04114189756507137
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.05000447868147617,0.04590237348858039
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.06000313507703332,0.05168874790072775
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.07000179147259047,0.056781829814459374
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.08000044786814761,0.05920223932820154
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.08999910426370476,0.06407066434436427
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.10000895736295234,0.06706224809673085
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.1100076137585095,0.0717557251908397
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.12000627015406665,0.07389438328046277
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.13000492654962378,0.07665145121005942
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.14000358294518095,0.0822936660268714
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.15000223934073809,0.08457117265059341
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.16000089573629522,0.08789363191042687
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.1699995521318524,0.09227425409998025
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.17999820852740953,0.09585717840258771
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.19000806162665712,0.09964643488509134
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.20000671802221426,0.10429379163634328
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.2100053744177714,0.10721902324589465
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.22000403081332856,0.11176141279454425
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.2300026872088857,0.11537338136500827
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.24000134360444286,0.11966410076976906
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.25,0.12383554281619491
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.25999865639555714,0.12725550148572412
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.2699973127911143,0.13071244919963507
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.2800071658903619,0.1338771593090211
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.29000582228591903,0.13829581869425892
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.30000447868147617,0.14178547435993133
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.3100031350770333,0.145952974320078
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.32000179147259045,0.14986004198740377
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.33000044786814764,0.15359820852984088
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.3399991042637048,0.15747875913851017
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.3499977606592619,0.1610096292267827
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.35999641705481905,0.16394003483453595
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.3700062701540666,0.16761483992011136
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.3800049265496238,0.1713957394148325
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.39000358294518095,0.17492535599448783
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.4000022393407381,0.17864240727781666
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.4100008957362952,0.18163198427003113
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.41999955213185236,0.18495907867025674
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.42999820852740955,0.18852202895531717
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.4399968649229667,0.19179581138509302
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.44999552131852383,0.19497387409803435
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.4600053744177714,0.197278745983838
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.47000403081332853,0.20096719632179527
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.4800026872088857,0.20419874037788663
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.49000134360444286,0.20791536229234742
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.5,0.21094589752776782
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.5099986563955572,0.21427473709631387
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.5199973127911143,0.2174109642134275
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.5299959691866715,0.22074574838914124
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.5399946255822285,0.22403997677697604
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.5500044786814762,0.22737266397947967
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.5600031350770334,0.2314705588323503
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.5700017914725904,0.23530682800345723
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.5800004478681476,0.2383158626281346
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.5899991042637047,0.24222871674194404
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.5999977606592619,0.24573124078601152
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.6099964170548191,0.24904552129221733
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.6199950734503762,0.25265020858541165
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.6299937298459334,0.25567838481498595
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.6400035829451809,0.25881735479356194
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.6500022393407381,0.2619675124455239
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.6600008957362953,0.26505615308926816
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.6699995521318524,0.2680693193402296
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.6799982085274096,0.271109135217019
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.6899968649229666,0.2743367139959432
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.6999955213185238,0.2773921110720113
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.709994177714081,0.2803772216177004
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.7199928341096381,0.2835748942523016
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.7300026872088857,0.2870333445811221
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.7400013436044428,0.2898881844729237
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.75,0.29271169234444044
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.7599986563955572,0.29574082531638113
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.7699973127911143,0.29936018612767196
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.7799959691866715,0.3026570776452349
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.7899946255822285,0.30538862747321277
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.7999932819777857,0.3083598090945989
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.8099919383733429,0.3110917585911365
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.8200017914725904,0.3143535965918401
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.8300004478681476,0.3175815133078822
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.8399991042637047,0.3207059262616299
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.8499977606592619,0.3241388394915366
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.8599964170548191,0.32747890844703675
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.8699950734503762,0.3303818483674599
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.8799937298459334,0.33356235844975446
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.8899923862414905,0.33679721212273706
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.8999910426370477,0.3401343617815377
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.9100008957362953,0.3435169919039299
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.9199995521318524,0.34719534606350483
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.9299982085274096,0.35050565856007704
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.9399968649229666,0.3536502566912439
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.9499955213185238,0.3570704570633854
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.959994177714081,0.3603377692765253
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.9699928341096381,0.3630182842367716
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.9799914905051953,0.3661810911168238
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,0.9899901469007524,0.3689972630007465
D1_SLEEPEDF_TO_ISRUC,C4,17,B1,1.0,0.37212244715155857
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,1.1196703690433536e-05,0.0
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.010009853099247581,0.3713646532438479
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.02000850949480473,0.4700615556799105
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.030007165890361877,0.5048507462686567
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.04000582228591903,0.5216904561992723
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.05000447868147617,0.5246305418719212
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.06000313507703332,0.5277103937301736
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.07000179147259047,0.5263915547024952
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.08000044786814761,0.5242827151854443
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.08999910426370476,0.525379447623787
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.10000895736295234,0.5249664128974474
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.1100076137585095,0.5302798982188295
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.12000627015406665,0.5330285501026311
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.13000492654962378,0.537765911635518
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.14000358294518095,0.5419065898912349
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.15000223934073809,0.5466149137866687
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.16000089573629522,0.5494051784464661
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.1699995521318524,0.5545017453731147
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.17999820852740953,0.5592187111221697
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.19000806162665712,0.5631113730111962
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.20000671802221426,0.5677657728265129
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.2100053744177714,0.5711772232885477
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.22000403081332856,0.5766705684767672
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.2300026872088857,0.5811994937201831
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.24000134360444286,0.5855376720317238
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.25,0.5885883195987102
D1_SLEEPEDF_TO_ISRUC,C5,17,B0,0.25999865639555714,0.5915335256879549
