experiment_id,condition,metric,probability_variant,point_estimate,seed_sd,ci95_low,ci95_high,subject_count,epoch_count,bootstrap_unit,bootstrap_replicates
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUROC,UNCALIBRATED,0.7266161580337651,0.0056471129111235925,0.7130567496820996,0.7395639884872586,99,89312,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C3,ERROR_AUPRC,UNCALIBRATED,0.5406309176020543,0.00974995839712565,0.5241946028872774,0.5553722563359778,99,89312,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C3,AURC,UNCALIBRATED,0.1881268837040546,0.011770139318433695,0.1697747212630469,0.2082275811826696,99,89312,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C3,coverage_0.1,UNCALIBRATED,0.9798533978263465,0.010819065644677406,0.9734768340748642,0.9855091443486671,99,89312,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C3,gap_0.1,UNCALIBRATED,-0.07985339782634655,0.010819065644677408,-0.08550914434866706,-0.07347683407486409,99,89312,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C3,coverage_0.05,UNCALIBRATED,0.9798533978263465,0.010819065644677406,0.9734768340748642,0.9855091443486671,99,89312,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C3,gap_0.05,UNCALIBRATED,-0.029853397826346623,0.010819065644677406,-0.03550914434866712,-0.02347683407486416,99,89312,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C4,macro-F1,UNCALIBRATED,0.5063910424775941,0.009225583639709864,0.484223074629199,0.5276435508722074,99,89312,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C4,NLL,UNCALIBRATED,1.1172660930665559,0.02783437007285827,1.0463959117432453,1.1933407107196026,99,89312,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C4,Brier,UNCALIBRATED,0.5597018757458727,0.00984976536380894,0.5301618410329589,0.590018401985323,99,89312,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C4,ERROR_AUROC,UNCALIBRATED,0.6980234745916304,0.012505201273146579,0.6850199261420172,0.7107601769927555,99,89312,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C4,ERROR_AUPRC,UNCALIBRATED,0.5808628331631477,0.011901490920970523,0.5604488844650066,0.601412410990468,99,89312,SUBJECT,2000
D1_SLEEPEDF_TO_ISRUC,C4,AURC,UNCALIBRATED,0.25705495972924736,0.017454287798939448,0.23518673734157294,0.27942282021652476,99,89312,SUBJECT,2000
