experiment_id,modality,metric,b1_interaction,b0_interaction,interaction_b1_minus_b0,ci95_low,ci95_high
D1_SLEEPEDF_TO_ISRUC,EEG,macro-F1,-0.011639759857876335,-0.0027672708491979408,-0.008872489008678397,-0.02134111212680219,0.003448912088790581
D1_SLEEPEDF_TO_ISRUC,EOG,macro-F1,-0.03151769683342323,-0.02784887837831493,-0.0036688184551083003,-0.03830515639819885,0.0346183246775049
D1_SLEEPEDF_TO_ISRUC,EEG,NLL,0.06915562069014851,-0.0366888307767502,0.1058444514668987,0.07503015001392384,0.13748744333767554
D1_SLEEPEDF_TO_ISRUC,EOG,NLL,0.16531026700861326,0.171576955979622,-0.0062666889710087294,-0.1388139397302265,0.13893364893651208
D1_SLEEPEDF_TO_ISRUC,EEG,Brier,0.039612006560536026,0.02829625420755418,0.011315752352981844,0.002140488773369728,0.02020636167797016
D1_SLEEPEDF_TO_ISRUC,EOG,Brier,0.08068602157458363,0.10756010643348284,-0.026874084858899194,-0.09323375757778272,0.04364141703692437
D1_SLEEPEDF_TO_ISRUC,EEG,ERROR_AUROC,-0.014466991826616541,-0.02069376183724666,0.006226770010630116,-0.003123095968345707,0.01525088494340545
D1_SLEEPEDF_TO_ISRUC,EOG,ERROR_AUROC,-0.042024010563880006,-0.04043575705834742,-0.0015882535055325854,-0.03793597567049818,0.033485301718389184
D1_SLEEPEDF_TO_ISRUC,EEG,ERROR_AUPRC,0.029433027737913765,-0.002065156684329491,0.03149818442224325,-0.0013597652040184297,0.06298624593356535
D1_SLEEPEDF_TO_ISRUC,EOG,ERROR_AUPRC,0.02738124058452215,0.14074294844183016,-0.11336170785730801,-0.16404496638384586,-0.059688042972432735
D1_SLEEPEDF_TO_ISRUC,EEG,AURC,0.05259789575130842,0.06420196055686858,-0.011604064805560164,-0.01776186381970395,-0.005051559587184351
D1_SLEEPEDF_TO_ISRUC,EOG,AURC,0.11818501924381951,0.32751197982395536,-0.20932696058013583,-0.25706543672921767,-0.15754943489466566
D1_SLEEPEDF_TO_ISRUC,EEG,coverage_0.1,-0.007208393547785888,-0.00022092793249812748,-0.006987465615287762,-0.009687756183106393,-0.004291275952220392
D1_SLEEPEDF_TO_ISRUC,EOG,coverage_0.1,-0.0014822427129482052,-0.03555716271999876,0.034074920007050556,0.026313383167083714,0.04197746136142161
D1_SLEEPEDF_TO_ISRUC,EEG,gap_0.1,0.007208393547785883,0.00022092793249813355,0.0069874656152877496,0.004291275952220475,0.009687756183106333
D1_SLEEPEDF_TO_ISRUC,EOG,gap_0.1,0.001482242712948198,0.03555716271999877,-0.03407492000705057,-0.04197746136142157,-0.0263133831670837
D2_ISRUC_TO_SLEEPEDF,EEG,macro-F1,0.013062494393017649,-0.01835888046633361,0.03142137485935126,0.01279845116104231,0.05059282287361076
D2_ISRUC_TO_SLEEPEDF,EOG,macro-F1,-0.03870578424101458,0.12730923286666887,-0.1660150171076835,-0.211124499371391,-0.12312377841109035
D2_ISRUC_TO_SLEEPEDF,EEG,NLL,0.0062733123499446744,0.33803032614118955,-0.3317570137912449,-0.40289001978425015,-0.26147806705457005
D2_ISRUC_TO_SLEEPEDF,EOG,NLL,0.13272873561586604,-0.4016487797577081,0.534377515373574,0.43137964826808717,0.6359483781823361
D2_ISRUC_TO_SLEEPEDF,EEG,Brier,0.004776829925138068,0.12202909005569769,-0.11725226013055962,-0.14294385637152676,-0.09152159964507652
D2_ISRUC_TO_SLEEPEDF,EOG,Brier,0.12323645875819816,-0.052298657281085584,0.17553511603928376,0.13043214040354856,0.2175435865160153
D2_ISRUC_TO_SLEEPEDF,EEG,ERROR_AUROC,-0.011499881322397312,-0.011888894583795866,0.00038901326139855245,-0.016761006778557252,0.02004588550475987
D2_ISRUC_TO_SLEEPEDF,EOG,ERROR_AUROC,-0.07280173312303755,-0.027274714937075863,-0.04552701818596169,-0.08653412749467432,-0.005263959513405288
D2_ISRUC_TO_SLEEPEDF,EEG,ERROR_AUPRC,-1.7511585451517874e-06,0.07618998177639726,-0.07619173293494241,-0.11234281080690367,-0.03740360964884793
D2_ISRUC_TO_SLEEPEDF,EOG,ERROR_AUPRC,0.051080314402648486,-0.03559265993784774,0.08667297434049623,0.044844003071769584,0.12747865599786945
D2_ISRUC_TO_SLEEPEDF,EEG,AURC,0.036073361882606535,0.11426951023859505,-0.07819614835598851,-0.09677938701291118,-0.06040034999380018
D2_ISRUC_TO_SLEEPEDF,EOG,AURC,0.18797601159053764,0.05174770571401752,0.13622830587652016,0.08136096473407553,0.19254223817704938
D2_ISRUC_TO_SLEEPEDF,EEG,coverage_0.1,-0.008968837544899256,-0.034977409766393144,0.026008572221493886,0.01761066457516059,0.03504786116573973
D2_ISRUC_TO_SLEEPEDF,EOG,coverage_0.1,-0.0017523717374749617,0.024259897653528185,-0.026012269391003148,-0.04677346360767793,-0.0060365337535782234
D2_ISRUC_TO_SLEEPEDF,EEG,gap_0.1,0.008968837544899255,0.034977409766393144,-0.02600857222149389,-0.03504786116573995,-0.01761066457516048
D2_ISRUC_TO_SLEEPEDF,EOG,gap_0.1,0.001752371737474955,-0.024259897653528185,0.026012269391003137,0.00603653375357838,0.04677346360767794
