experiment_id,condition,stage,b0_point,b1_point,delta,ci95_low,ci95_high
D1_SLEEPEDF_TO_ISRUC,C0,Wake,0.984560901860251,0.9826217708538749,-0.0019391310063761047,-0.003421269290035092,-0.0007638646550721717
D1_SLEEPEDF_TO_ISRUC,C0,N1,0.4501267962806424,0.5225415610030995,0.07241476472245706,0.050991081809609165,0.10259777333568984
D1_SLEEPEDF_TO_ISRUC,C0,N2,0.8485886259858862,0.8148263456482635,-0.03376228033762274,-0.041034591902449354,-0.025520618060326895
D1_SLEEPEDF_TO_ISRUC,C0,N3,0.6909366704588548,0.7089495638983694,0.01801289343951462,0.0014475829686023598,0.03535918417417849
D1_SLEEPEDF_TO_ISRUC,C0,REM,0.7244525547445256,0.7680454176804542,0.04359286293592857,0.024893590825946242,0.06265018070914818
D1_SLEEPEDF_TO_ISRUC,C1,Wake,0.9843144021560507,0.9813974889896798,-0.0029169131663708825,-0.004471142613198875,-0.0015879041850224097
D1_SLEEPEDF_TO_ISRUC,C1,N1,0.25119752042828963,0.33939137785291634,0.08819385742462671,0.059896061439792314,0.10903435340302506
D1_SLEEPEDF_TO_ISRUC,C1,N2,0.8462363359623634,0.8172132281721324,-0.029023107790230984,-0.04233017963545592,-0.014678241406465125
D1_SLEEPEDF_TO_ISRUC,C1,N3,0.59935532802427,0.7098976109215017,0.11054228289723167,0.06561473285449118,0.15055318745855825
D1_SLEEPEDF_TO_ISRUC,C1,REM,0.5283860502838604,0.629764801297648,0.10137875101378757,0.03257317267946459,0.18036621284627363
D1_SLEEPEDF_TO_ISRUC,C2,Wake,0.8094310786827056,0.9627456780385196,0.15331459935581404,0.09837934062004476,0.21666106968552265
D1_SLEEPEDF_TO_ISRUC,C2,N1,0.5493096646942801,0.3364327979712595,-0.21287686672302059,-0.2504913155603013,-0.1856483645555511
D1_SLEEPEDF_TO_ISRUC,C2,N2,0.6329735713297358,0.7885360453853604,0.15556247405562462,0.07786434901552669,0.23761625355602986
D1_SLEEPEDF_TO_ISRUC,C2,N3,0.051952976867652635,0.4507015547971179,0.3987485779294652,0.2839158851646083,0.5211549742422639
D1_SLEEPEDF_TO_ISRUC,C2,REM,0.6597729115977291,0.6353406326034063,-0.024432278994322765,-0.049835322335322285,-0.0032628751853228605
D1_SLEEPEDF_TO_ISRUC,C3,Wake,0.9169971440228478,0.9046919624643003,-0.01230518155854754,-0.01941304529344083,-0.004943891361580895
D1_SLEEPEDF_TO_ISRUC,C3,N1,0.2297650130548303,0.29332753118653904,0.06356251813170874,0.04790220153981903,0.07839254397031495
D1_SLEEPEDF_TO_ISRUC,C3,N2,0.8171543417863688,0.7803865933676183,-0.03676774841875052,-0.04606930580087123,-0.028331873981564934
D1_SLEEPEDF_TO_ISRUC,C3,N3,0.4083439416734174,0.453554758322725,0.045210816649307595,0.034960956071016416,0.05590956977597155
D1_SLEEPEDF_TO_ISRUC,C3,REM,0.5703579418344519,0.6117170022371364,0.041359060402684555,0.022189547134858812,0.06003292261912534
D1_SLEEPEDF_TO_ISRUC,C4,Wake,0.8759853121175031,0.8404406364749081,-0.035544675642595,-0.045174686014636645,-0.026329118369793368
D1_SLEEPEDF_TO_ISRUC,C4,N1,0.07539889759210909,0.1442123585726719,0.0688134609805628,0.059299949278063466,0.0780271445544203
D1_SLEEPEDF_TO_ISRUC,C4,N2,0.7555831412188923,0.7433351066974051,-0.01224803452148715,-0.01846236641711978,-0.005819867992409247
D1_SLEEPEDF_TO_ISRUC,C4,N3,0.2725957643791228,0.36521621725880493,0.09262045287968212,0.08116004032271547,0.10437029473055758
D1_SLEEPEDF_TO_ISRUC,C4,REM,0.7038031319910515,0.7088366890380313,0.005033557046979831,-0.011345990071888185,0.021527612150565673
D1_SLEEPEDF_TO_ISRUC,C5,Wake,0.7008567931456549,0.8930558955528355,0.19219910240718063,0.13407701154430882,0.2536577555592369
D1_SLEEPEDF_TO_ISRUC,C5,N1,0.19321148825065274,0.09588047577603713,-0.0973310124746156,-0.13388786604156228,-0.06278652159333745
D1_SLEEPEDF_TO_ISRUC,C5,N2,0.35234379618135603,0.6924632026955134,0.3401194065141574,0.30157330087111506,0.3766937878876873
D1_SLEEPEDF_TO_ISRUC,C5,N3,0.051730123828260616,0.48385603518111325,0.4321259113528526,0.3797362440956662,0.48195218171599985
D1_SLEEPEDF_TO_ISRUC,C5,REM,0.2535234899328859,0.23783557046979867,-0.015687919463087258,-0.035018782937991544,0.00407052365579791
D2_ISRUC_TO_SLEEPEDF,C0,Wake,0.8174406888339286,0.8357607401300724,0.01832005129614378,-0.0016392453477572064,0.035559238492077386
D2_ISRUC_TO_SLEEPEDF,C0,N1,0.525748502994012,0.5261477045908184,0.0003992015968063978,-0.021820064091687984,0.023381648718292576
D2_ISRUC_TO_SLEEPEDF,C0,N2,0.7685928997149521,0.7762805562753735,0.007687656560421363,-0.014604446585783831,0.03123175215784032
D2_ISRUC_TO_SLEEPEDF,C0,N3,0.8684437862520054,0.8200666419844502,-0.04837714426755513,-0.06036124779067137,-0.03760495985754126
D2_ISRUC_TO_SLEEPEDF,C0,REM,0.6428571428571429,0.7365466511807975,0.09368950832365464,0.04863291630392601,0.15590274097236945
D2_ISRUC_TO_SLEEPEDF,C1,Wake,0.7466336905743337,0.7550609141705596,0.008427223596225941,-0.01559278566678117,0.034130812831002506
D2_ISRUC_TO_SLEEPEDF,C1,N1,0.36706586826347304,0.36167664670658684,-0.005389221556886203,-0.023990075806172295,0.00892418953937277
D2_ISRUC_TO_SLEEPEDF,C1,N2,0.7320549365120498,0.7402608620540727,0.00820592554202293,-0.010878748971984232,0.022649308433552527
D2_ISRUC_TO_SLEEPEDF,C1,N3,0.80389979020116,0.8192027644082439,0.01530297420708393,0.0037312092537502145,0.03103186173767789
D2_ISRUC_TO_SLEEPEDF,C1,REM,0.5840108401084011,0.715834301200155,0.1318234610917539,0.0732586593460702,0.19434159742524493
D2_ISRUC_TO_SLEEPEDF,C2,Wake,0.2619767335348539,0.7662361454612073,0.5042594119263535,0.34381386791276053,0.700249281862362
D2_ISRUC_TO_SLEEPEDF,C2,N1,0.30419161676646705,0.3407185628742515,0.03652694610778445,-0.0051719658100478376,0.086216888963446
D2_ISRUC_TO_SLEEPEDF,C2,N2,0.6454176384210072,0.8011574673922434,0.15573982897123617,0.09376112458588375,0.21959082001972977
D2_ISRUC_TO_SLEEPEDF,C2,N3,0.7618166111316796,0.7539183018635073,-0.007898309268172365,-0.07001192195498619,0.043153152237956995
D2_ISRUC_TO_SLEEPEDF,C2,REM,0.5435540069686411,0.4789005032907472,-0.06465350367789391,-0.11469487926456826,-0.01899768628485966
D2_ISRUC_TO_SLEEPEDF,C3,Wake,0.7589872229209657,0.7810332605783729,0.022046037657407203,0.009837834853120012,0.03456777280746147
